Date,Truworth,TFG
2005/05/06,1670,3685
2005/05/09,1702,3785
2005/05/10,1680,3700
2005/05/11,1660,3670
2005/05/12,1692,3740
2005/05/13,1680,3650
2005/05/16,1660,3616
2005/05/17,1662,3602
2005/05/18,1661,3566
2005/05/19,1701,3645
2005/05/20,1724,3626
2005/05/23,1700,3690
2005/05/24,1681,3720
2005/05/25,1676,3740
2005/05/26,1701,3770
2005/05/27,1704,3825
2005/05/30,1701,3760
2005/05/31,1675,3660
2005/06/01,1670,3636
2005/06/02,1730,3750
2005/06/03,1730,3830
2005/06/06,1724,3930
2005/06/07,1825,4055
2005/06/08,1760,3940
2005/06/09,1752,3810
2005/06/10,1801,3961
2005/06/13,1815,3950
2005/06/14,1779,3850
2005/06/15,1775,3850
2005/06/17,1819,4000
2005/06/20,1841,4025
2005/06/21,1850,4049
2005/06/22,1825,4041
2005/06/23,1790,3990
2005/06/24,1755,3950
2005/06/27,1750,3910
2005/06/28,1768,3935
2005/06/29,1771,3961
2005/06/30,1740,3950
2005/07/01,1725,3950
2005/07/04,1735,3905
2005/07/05,1755,3920
2005/07/06,1760,4022
2005/07/07,1760,4002
2005/07/08,1801,4002
2005/07/11,1800,3915
2005/07/12,1840,4010
2005/07/13,1891,4050
2005/07/14,1880,4180
2005/07/15,1860,4200
2005/07/18,1825,4243
2005/07/19,1845,4215
2005/07/20,1838,4205
2005/07/21,1809,4255
2005/07/22,1802,4215
2005/07/25,1880,4278
2005/07/26,1837,4260
2005/07/27,1880,4400
2005/07/28,1900,4500
2005/07/29,1880,4350
2005/08/01,1890,4435
2005/08/02,1930,4499
2005/08/03,1940,4533
2005/08/04,1941,4540
2005/08/05,1926,4545
2005/08/08,1965,4551
2005/08/10,1975,4620
2005/08/11,1915,4575
2005/08/12,1890,4570
2005/08/15,1900,4499
2005/08/16,1865,4350
2005/08/17,1820,4310
2005/08/18,1840,4421
2005/08/19,1920,4603
2005/08/22,1976,4680
2005/08/23,1981,4700
2005/08/24,1940,4660
2005/08/25,1908,4660
2005/08/26,1920,4700
2005/08/29,1920,4635
2005/08/30,1885,4616
2005/08/31,1900,4710
2005/09/01,1890,4740
2005/09/02,1950,4800
2005/09/05,1930,4720
2005/09/06,1950,4760
2005/09/07,1963,4700
2005/09/08,1975,4676
2005/09/09,2000,4720
2005/09/12,1980,4645
2005/09/13,1985,4571
2005/09/14,1990,4582
2005/09/15,1995,4603
2005/09/16,1965,4550
2005/09/19,2020,4549
2005/09/20,2065,4660
2005/09/21,2019,4650
2005/09/22,2020,4550
2005/09/23,2000,4549
2005/09/26,1995,4556
2005/09/27,1980,4650
2005/09/28,1966,4565
2005/09/29,1990,4655
2005/09/30,2030,4550
2005/10/03,2016,4530
2005/10/04,2002,4666
2005/10/05,1985,4635
2005/10/06,1950,4460
2005/10/07,1950,4380
2005/10/10,1940,4420
2005/10/11,1956,4505
2005/10/12,1970,4560
2005/10/13,1930,4381
2005/10/14,1850,4300
2005/10/17,1883,4500
2005/10/18,1890,4450
2005/10/19,1881,4301
2005/10/20,1901,4369
