Date,Impla Plat,Anglo Plat
2005/02/17,6412.5,22900
2005/02/18,6375,23500
2005/02/21,6500,23950
2005/02/22,6512.5,24195
2005/02/23,6362.5,23400
2005/02/24,6462.5,23300
2005/02/25,6434.25,23300
2005/02/28,6387.5,23000
2005/03/01,6250.375,22890
2005/03/02,6150,22390
2005/03/03,6201.25,22250
2005/03/04,6212.5,22300
2005/03/07,6112.5,22500
2005/03/08,6056.25,22700
2005/03/09,6099.375,22700
2005/03/10,6206.25,22780
2005/03/11,6137.5,22800
2005/03/14,6187.5,22801
2005/03/15,6112.5,22800
2005/03/16,6325,23100
2005/03/17,6562.5,23750
2005/03/18,6481.25,23551
2005/03/22,6500,23050
2005/03/23,6537.375,23101
2005/03/24,6500,23050
2005/03/29,6537.5,23175
2005/03/30,6512.5,23010
2005/03/31,6562.5,23400
2005/04/01,6686.25,23360
2005/04/04,6637.5,23301
2005/04/05,6500,23502
2005/04/06,6537.5,23500
2005/04/07,6497.5,23450
2005/04/08,6500,23700
2005/04/11,6443.75,23650
2005/04/12,6456.25,24000
2005/04/13,6475,24120
2005/04/14,6600,24800
2005/04/15,6575,24400
2005/04/18,6387.5,24000
2005/04/19,6450,24900
2005/04/20,6450,25100
2005/04/21,6312.5,24400
2005/04/22,6300,24800
2005/04/25,6318.75,25000
2005/04/26,6387.5,24900
2005/04/28,6225,23900
2005/04/29,6312.5,23900
2005/05/03,6456.25,24100
2005/05/04,6437.5,24025
2005/05/05,6262.5,23680
2005/05/06,6337.5,23750
2005/05/09,6450,24200
2005/05/10,6525,24455
2005/05/11,6562.5,24600
2005/05/12,6625,25200
2005/05/13,6625,24961
2005/05/16,6750,25701
2005/05/17,6776.25,25900
2005/05/18,6712.5,25700
2005/05/19,6562.5,25400
2005/05/20,6650,25755
2005/05/23,6775,26101
2005/05/24,6939.375,26599
2005/05/25,6950,27100
2005/05/26,7150,27600
2005/05/27,7225,28500
2005/05/30,7231.25,28900
2005/05/31,7126.25,29201
2005/06/01,7212.5,29600
2005/06/02,7275,29600
2005/06/03,7200,29000
2005/06/06,7162.5,28700
2005/06/07,7012.5,27800
2005/06/08,7037.5,27045
2005/06/09,7143.75,28000
2005/06/10,7250.125,27450
2005/06/13,7375,28499
2005/06/14,7343.75,28990
2005/06/15,7387.5,29298
2005/06/17,7393.75,28998
2005/06/20,7350,28700
2005/06/21,7162.625,28385
2005/06/22,7162.5,28610
2005/06/23,7275,29150
2005/06/24,7375,29100
