Date,PPC,WHBO
2005/04/21,2200,2670
2005/04/22,2180,2670
2005/04/25,2180.1,2670
2005/04/26,2210,2650
2005/04/28,2205,2640
2005/04/29,2230,2650
2005/05/03,2290,2650
2005/05/04,2334,2650
2005/05/05,2400,2750
2005/05/06,2339,2800
2005/05/09,2310,2800
2005/05/10,2300,2850
2005/05/11,2250,2856
2005/05/12,2240,2875
2005/05/13,2202.5,2875
2005/05/16,2250,2875
2005/05/17,2235,2875
2005/05/18,2240,2860
2005/05/19,2229.7,2860
2005/05/20,2225,2845
2005/05/23,2225,2835
2005/05/24,2240,2700
2005/05/25,2236,2700
2005/05/26,2240,2700
2005/05/27,2237.5,2695
2005/05/30,2200.5,2700
2005/05/31,2180,2700
2005/06/01,2110.5,2650
2005/06/02,2130,2675
2005/06/03,2170,2680
2005/06/06,2185,2700
2005/06/07,2175.6,2700
2005/06/08,2190,2750
2005/06/09,2150,2800
2005/06/10,2150,2800
2005/06/13,2150,2820
2005/06/14,2160,2850
2005/06/15,2149.9,2850
2005/06/17,2150,2850
2005/06/20,2150,2850
2005/06/21,2150,3100
2005/06/22,2155,3090
2005/06/23,2223,3050
2005/06/24,2220,3050
2005/06/27,2220,3000
2005/06/28,2260.8,2990
2005/06/29,2260,2960
2005/06/30,2299.5,2980
2005/07/01,2420,2978
2005/07/04,2390.1,2980
2005/07/05,2350,2990
2005/07/06,2360,3020
2005/07/07,2355,3000
2005/07/08,2360,3060
2005/07/11,2400,3070
2005/07/12,2410,3110
2005/07/13,2417,3120
2005/07/14,2490.1,3150
2005/07/15,2531,3150
2005/07/18,2539.9,3150
2005/07/19,2531,3150
2005/07/20,2505,3200
2005/07/21,2480,3221
2005/07/22,2500,3250
2005/07/25,2500,3190
2005/07/26,2490,3200
2005/07/27,2520,3200
2005/07/28,2530,3190
2005/07/29,2520,3200
2005/08/01,2550,3265
2005/08/02,2530,3300
2005/08/03,2560,3306
2005/08/04,2572,3340
2005/08/05,2650,3340
2005/08/08,2600.5,3375
2005/08/10,2570,3380
2005/08/11,2520,3400
2005/08/12,2520,3390
2005/08/15,2500,3450
2005/08/16,2549.7,3450
2005/08/17,2500,3450
2005/08/18,2500,3440
2005/08/19,2559.9,3450
2005/08/22,2570,3430
2005/08/23,2590,3450
2005/08/24,2581.5,3450
2005/08/25,2585,3450
2005/08/26,2559.9,3490
2005/08/29,2570,3550
2005/08/30,2560,3545
2005/08/31,2595,3545
2005/09/01,2640,3550
2005/09/02,2640,3466
2005/09/05,2669,3450
2005/09/06,2720,3500
2005/09/07,2800.8,3570
2005/09/08,2834.9,3570
2005/09/09,2850,3600
2005/09/12,2880,3650
2005/09/13,2874,3650
2005/09/14,2858.4,3650
2005/09/15,2829,3666
2005/09/16,2800,3666
2005/09/19,2830,3800
2005/09/20,2820,3775
2005/09/21,2815,3760
2005/09/22,2790,3700
2005/09/23,2750,3745
2005/09/26,2755,3760
2005/09/27,2790,3795
2005/09/28,2850,3800
2005/09/29,2854.9,3825
2005/09/30,2910,3840
2005/10/03,3011,3850
2005/10/04,2995,3875
2005/10/05,2980,3850
2005/10/06,2987.2,3825
2005/10/07,2998,3800
2005/10/10,3130,3801
2005/10/11,3130,3900
2005/10/12,3100,3950
2005/10/13,3020,3900
2005/10/14,2900,3800
2005/10/17,2900,3750
2005/10/18,2900,3790
2005/10/19,2800,3800
2005/10/20,2820,3900
2005/10/21,2820,3950
2005/10/24,2900,3960
2005/10/25,2950,3980
2005/10/26,2970,4050
2005/10/27,2841.7,4000
2005/10/28,2900,4000
2005/10/31,3000,4030
2005/11/01,3000,4180
2005/11/02,3000.6,4180
2005/11/03,3100,4175
2005/11/04,3060,4140
2005/11/07,3099,4110
2005/11/08,3125,4100
2005/11/09,3100,4100
2005/11/10,3060,4150
2005/11/11,3118,4140
2005/11/14,3185,4180
2005/11/15,3160,4120
2005/11/16,3140,4170
2005/11/17,3190,4160
2005/11/18,3210,4170
2005/11/21,3270,4115
2005/11/22,3200,4000
2005/11/23,3275,4075
2005/11/24,3278,4080
2005/11/25,3250,4080
2005/11/28,3243.6,4079
2005/11/29,3168.5,4050
2005/11/30,3100,4029
2005/12/01,3130,4027
2005/12/02,3100.1,3950
2005/12/05,3133,3960
2005/12/06,3139.8,4000
2005/12/07,3159.8,4050
2005/12/08,3180,4039
2005/12/09,3170,4035
2005/12/12,3194,4057
2005/12/13,3193,4085
2005/12/14,3220,4200
2005/12/15,3180,4300
2005/12/19,3220,4300
2005/12/20,3205,4250
2005/12/21,3231.7,4290
2005/12/22,3199.6,4325
2005/12/23,3201,4300
2005/12/27,3249,4350
2005/12/28,3230,4425
2005/12/29,3250,4425
2005/12/30,3067.5,4400
2006/01/03,3070,4420
2006/01/04,3062.5,4525
2006/01/05,3012.6,4575
2006/01/06,3030,4600
2006/01/09,3069.9,4650
2006/01/10,3102,4740
2006/01/11,3165,4850
2006/01/12,3205.4,5000
2006/01/13,3350,4800
2006/01/16,3206.1,4990
2006/01/17,3226,4950
2006/01/18,3280,4945
2006/01/19,3264.9,5000
2006/01/20,3329,5000
2006/01/23,3355,5000
2006/01/24,3326.5,4988
2006/01/25,3315,4985
2006/01/26,3297.5,5000
2006/01/27,3290,4985
2006/01/30,3320,4980
2006/01/31,3340,4850
2006/02/01,3449.8,4860
2006/02/02,3526,4900
2006/02/03,3375,4900
2006/02/06,3448.9,4925
2006/02/07,3540,4850
2006/02/08,3600,4800
2006/02/09,3605,4900
2006/02/10,3750,4840
2006/02/13,3630.2,4845
2006/02/14,3550,4850
2006/02/15,3560,4850
2006/02/16,3520,4880
2006/02/17,3660,4900
2006/02/20,3730,4950
2006/02/21,3722.1,4950
2006/02/22,3794,5010
2006/02/23,3702,5020
2006/02/24,3758.8,5010
2006/02/27,3901.1,5180
2006/02/28,3809.2,5250
2006/03/02,3874.2,5500
2006/03/03,3850,5511
2006/03/06,3882.8,5620
2006/03/07,3610,5500
2006/03/08,3640,5499
2006/03/09,3780,5389
2006/03/10,3902,5400
2006/03/13,4050,5590
2006/03/14,4120,5620
2006/03/15,4117.5,5700
2006/03/16,4119,5680
2006/03/17,4037.5,5627
2006/03/20,4040,5630
2006/03/22,4099,5800
2006/03/23,4150,5970
2006/03/24,4145,5990
2006/03/27,4150,5970
2006/03/28,4101,5900
2006/03/29,4170.2,5900
2006/03/30,4191.3,5800
2006/03/31,4190,5650
2006/04/03,4100,5700
2006/04/04,4080,5700
2006/04/05,4099.9,5690
2006/04/06,4101,5600
2006/04/07,4199.4,5600
2006/04/10,4170,5570
2006/04/11,4200,5500
2006/04/12,4135,5450
2006/04/13,4036,5565
2006/04/18,4020,5799
2006/04/19,4106.4,5780
2006/04/20,4107.5,5800
2006/04/21,4144.9,5950
2006/04/24,4136,5980
2006/04/25,4144.9,6002
2006/04/26,4150,6000
2006/04/28,4190,6000
2006/05/02,4165,6000
2006/05/03,4190.1,6000
2006/05/04,4196.1,5975
2006/05/05,4260,5975
2006/05/08,4270.7,5930
2006/05/09,4300.1,5930
2006/05/10,4330,5900
2006/05/11,4259.1,5830
2006/05/12,4070,5830
2006/05/15,3920,5525
2006/05/16,4015,5490
2006/05/17,3965,5500
2006/05/18,3900,5550
2006/05/19,3950,5575
2006/05/22,3750,5350
2006/05/23,4000,5244
2006/05/24,3830,5130
2006/05/25,3780.2,5070
2006/05/26,3825,5200
2006/05/29,3789.5,5300
2006/05/30,3700,5290
2006/05/31,3570.5,5290
2006/06/01,3600.4,5290
2006/06/02,3650,5360
2006/06/05,3750,5390
2006/06/06,3605.1,5340
2006/06/07,3550,5150
2006/06/08,3405.7,4950
2006/06/09,3500,4930
2006/06/12,3549.9,4897
2006/06/13,3458.8,4780
2006/06/14,3579.9,4762
2006/06/15,3730,5000
2006/06/19,3779.8,5200
2006/06/20,3749,5300
2006/06/21,3750,5390
2006/06/22,3680,5350
2006/06/23,3699.9,5050
2006/06/26,3474.6,5002
2006/06/27,3570.1,5000
2006/06/28,3569,5060
2006/06/29,3599.9,5100
2006/06/30,3674.9,5200
2006/07/03,3727.5,5174
2006/07/04,3706,5300
2006/07/05,3650,5290
2006/07/06,3637.5,5248
2006/07/07,3600,5245
2006/07/10,3635,5245
2006/07/11,3668.5,5220
2006/07/12,3710,5400
2006/07/13,3698.1,5300
