Date,MMI,OldMutual
2005/05/19,1025,1410
2005/05/20,1025,1408
2005/05/23,1025,1410
2005/05/24,1010,1400
2005/05/25,1040,1415
2005/05/26,1040,1439
2005/05/27,1025,1437
2005/05/30,1009,1433
2005/05/31,950,1443
2005/06/01,960,1434
2005/06/02,1005,1430
2005/06/03,1014,1422
2005/06/06,998,1415
2005/06/07,1010,1422
2005/06/08,1006,1442
2005/06/09,980,1437
2005/06/10,1000,1432
2005/06/13,995,1454
2005/06/14,1000,1441
2005/06/15,1010,1432
2005/06/17,1010,1421
2005/06/20,1000,1438
2005/06/21,1008,1438
2005/06/22,1008,1456
2005/06/23,1025,1452
2005/06/24,1030,1484
2005/06/27,1015,1455
2005/06/28,1030,1450
2005/06/29,1007,1459
2005/06/30,1012,1460
2005/07/01,1040,1456
2005/07/04,1026,1460
2005/07/05,1030,1475
2005/07/06,1012,1463
2005/07/07,1000,1434
2005/07/08,1005,1460
2005/07/11,1020,1469
2005/07/12,1060,1487
2005/07/13,1060,1483
2005/07/14,1070,1495
2005/07/15,1070,1488
2005/07/18,1050,1491
2005/07/19,1065,1515
2005/07/20,1070,1510
2005/07/21,1100,1504
2005/07/22,1090,1481
2005/07/25,1090,1504
2005/07/26,1081,1493
2005/07/27,1081,1509
2005/07/28,1106,1503
2005/07/29,1140,1495
2005/08/01,1140,1507
2005/08/02,1154,1518
2005/08/03,1165,1500
2005/08/04,1175,1495
2005/08/05,1170,1500
2005/08/08,1170,1505
2005/08/10,1175,1551
2005/08/11,1140,1548
2005/08/12,1130,1559
2005/08/15,1140,1565
2005/08/16,1140,1562
2005/08/17,1110,1560
2005/08/18,1110,1553
2005/08/19,1120,1568
2005/08/22,1127,1574
2005/08/23,1148,1590
2005/08/24,1175,1585
2005/08/25,1165,1592
2005/08/26,1150,1585
2005/08/29,1130,1594
2005/08/30,1140,1600
2005/08/31,1165,1628
2005/09/01,1175,1668
2005/09/02,1200,1641
2005/09/05,1180,1625
2005/09/06,1155,1665
2005/09/07,1163,1650
2005/09/08,1169,1635
2005/09/09,1155,1611
2005/09/12,1160,1621
2005/09/13,1165,1602
2005/09/14,1145,1589
2005/09/15,1130,1582
2005/09/16,1101,1574
2005/09/19,1135,1585
2005/09/20,1135,1560
2005/09/21,1140,1563
2005/09/22,1135,1553
2005/09/23,1130,1533
2005/09/26,1115,1534
2005/09/27,1110,1548
2005/09/28,1110,1555
2005/09/29,1100,1556
2005/09/30,1112,1565
2005/10/03,1080,1555
2005/10/04,1085,1564
2005/10/05,1099,1576
2005/10/06,1080,1585
2005/10/07,1085,1558
2005/10/10,1070,1543
2005/10/11,1060,1534
2005/10/12,1041,1570
2005/10/13,1030,1551
2005/10/14,1000,1548
2005/10/17,1025,1543
2005/10/18,1020,1543
2005/10/19,1015,1537
2005/10/20,1025,1532
2005/10/21,1020,1530
2005/10/24,1060,1531
2005/10/25,1055,1548
2005/10/26,1045,1565
2005/10/27,1045,1532
2005/10/28,1045,1575
2005/10/31,1025,1564
2005/11/01,1050,1550
2005/11/02,1075,1574
2005/11/03,1085,1608
2005/11/04,1070,1607
2005/11/07,1085,1612
2005/11/08,1100,1590
2005/11/09,1105,1598
2005/11/10,1095,1601
2005/11/11,1100,1635
2005/11/14,1100,1659
2005/11/15,1090,1675
2005/11/16,1093,1668
2005/11/17,1100,1685
2005/11/18,1098,1711
2005/11/21,1092,1700
2005/11/22,1085,1667
2005/11/23,1080,1680
2005/11/24,1091,1710
2005/11/25,1070,1700
2005/11/28,1070,1705
2005/11/29,1053,1703
2005/11/30,1056,1687
2005/12/01,1069,1683
2005/12/02,1085,1750
2005/12/05,1060,1738
2005/12/06,1125,1722
2005/12/07,1150,1709
2005/12/08,1118,1755
2005/12/09,1103,1793
2005/12/12,1110,1783
2005/12/13,1100,1715
2005/12/14,1103,1726
2005/12/15,1145,1748
2005/12/19,1160,1779
2005/12/20,1180,1775
2005/12/21,1175,1790
2005/12/22,1200,1810
2005/12/23,1200,1813
2005/12/27,1200,1865
2005/12/28,1200,1822
2005/12/29,1190,1808
