Date,Mpact,Nampac
2015/11/03,4900,2300
2015/11/04,4837,2360
2015/11/05,4770,2198
2015/11/06,4690,2136
2015/11/09,4650,2126
2015/11/10,4561,2177
2015/11/11,4600,2159
2015/11/12,4500,2130
2015/11/13,4450,2200
2015/11/16,4553,2265
2015/11/17,4605,2202
2015/11/18,4650,2201
2015/11/19,4630,2206
2015/11/20,4616,2240
2015/11/23,4630,2210
