Date,Group5,WHBO
2005/05/06,1415,2800
2005/05/09,1420,2800
2005/05/10,1425,2850
2005/05/11,1424,2856
2005/05/12,1420,2875
2005/05/13,1420,2875
2005/05/16,1420,2875
2005/05/17,1399,2875
2005/05/18,1385,2860
2005/05/19,1400,2860
2005/05/20,1400,2845
2005/05/23,1379,2835
2005/05/24,1375,2700
2005/05/25,1360,2700
2005/05/26,1370,2700
2005/05/27,1370,2695
2005/05/30,1370,2700
2005/05/31,1360,2700
2005/06/01,1359,2650
2005/06/02,1370,2675
2005/06/03,1370,2680
2005/06/06,1440,2700
2005/06/07,1427,2700
2005/06/08,1425,2750
2005/06/09,1450,2800
2005/06/10,1465,2800
2005/06/13,1455,2820
2005/06/14,1475,2850
2005/06/15,1490,2850
2005/06/17,1520,2850
2005/06/20,1535,2850
2005/06/21,1535,3100
2005/06/22,1610,3090
2005/06/23,1550,3050
2005/06/24,1535,3050
2005/06/27,1530,3000
2005/06/28,1520,2990
2005/06/29,1520,2960
2005/06/30,1539,2980
2005/07/01,1525,2978
2005/07/04,1540,2980
2005/07/05,1570,2990
2005/07/06,1610,3020
2005/07/07,1620,3000
2005/07/08,1613,3060
2005/07/11,1625,3070
2005/07/12,1630,3110
2005/07/13,1645,3120
2005/07/14,1675,3150
2005/07/15,1670,3150
2005/07/18,1665,3150
2005/07/19,1660,3150
2005/07/20,1635,3200
2005/07/21,1694,3221
2005/07/22,1697,3250
2005/07/25,1705,3190
2005/07/26,1705,3200
2005/07/27,1705,3200
2005/07/28,1710,3190
2005/07/29,1720,3200
2005/08/01,1740,3265
2005/08/02,1765,3300
2005/08/03,1765,3306
2005/08/04,1775,3340
2005/08/05,1774,3340
2005/08/08,1775,3375
2005/08/10,1735,3380
2005/08/11,1660,3400
2005/08/12,1655,3390
2005/08/15,1661,3450
2005/08/16,1680,3450
2005/08/17,1710,3450
2005/08/18,1700,3440
2005/08/19,1710,3450
2005/08/22,1745,3430
2005/08/23,1780,3450
2005/08/24,1780,3450
2005/08/25,1780,3450
2005/08/26,1770,3490
2005/08/29,1720,3550
2005/08/30,1721,3545
2005/08/31,1780,3545
2005/09/01,1800,3550
2005/09/02,1830,3466
2005/09/05,1875,3450
2005/09/06,1880,3500
2005/09/07,1875,3570
2005/09/08,1870,3570
2005/09/09,1820,3600
2005/09/12,1845,3650
2005/09/13,1850,3650
2005/09/14,1850,3650
2005/09/15,1865,3666
2005/09/16,1890,3666
2005/09/19,1890,3800
2005/09/20,1880,3775
2005/09/21,1870,3760
2005/09/22,1875,3700
2005/09/23,1800,3745
2005/09/26,1850,3760
2005/09/27,1889,3795
2005/09/28,1975,3800
2005/09/29,1985,3825
2005/09/30,2000,3840
2005/10/03,2040,3850
2005/10/04,2010,3875
2005/10/05,1955,3850
2005/10/06,1919,3825
2005/10/07,1900,3800
2005/10/10,1921,3801
2005/10/11,1961,3900
2005/10/12,1990,3950
2005/10/13,1940,3900
2005/10/14,1920,3800
2005/10/17,1950,3750
2005/10/18,1940,3790
2005/10/19,1935,3800
2005/10/20,1940,3900
2005/10/21,1950,3950
2005/10/24,1950,3960
2005/10/25,1960,3980
2005/10/26,2000,4050
2005/10/27,2050,4000
2005/10/28,2100,4000
2005/10/31,2100,4030
2005/11/01,2110,4180
2005/11/02,2094,4180
2005/11/03,2090,4175
2005/11/04,2050,4140
2005/11/07,2056,4110
2005/11/08,2085,4100
2005/11/09,2085,4100
2005/11/10,2070,4150
2005/11/11,2075,4140
2005/11/14,1999,4180
2005/11/15,2005,4120
2005/11/16,2020,4170
2005/11/17,2019,4160
2005/11/18,1990,4170
2005/11/21,1990,4115
2005/11/22,2011,4000
2005/11/23,2000,4075
2005/11/24,1975,4080
2005/11/25,1969,4080
2005/11/28,1939,4079
2005/11/29,1905,4050
2005/11/30,1868,4029
2005/12/01,1875,4027
2005/12/02,1900,3950
2005/12/05,1940,3960
2005/12/06,1980,4000
2005/12/07,2025,4050
2005/12/08,2050,4039
2005/12/09,2035,4035
2005/12/12,2010,4057
2005/12/13,1980,4085
2005/12/14,2005,4200
2005/12/15,2085,4300
2005/12/19,2120,4300
2005/12/20,2130,4250
2005/12/21,2150,4290
2005/12/22,2150,4325
2005/12/23,2150,4300
2005/12/27,2149,4350
2005/12/28,2130,4425
2005/12/29,2150,4425
2005/12/30,2105,4400
2006/01/03,2150,4420
2006/01/04,2250,4525
2006/01/05,2300,4575
2006/01/06,2355,4600
2006/01/09,2371,4650
2006/01/10,2400,4740
2006/01/11,2427,4850
2006/01/12,2410,5000
2006/01/13,2420,4800
2006/01/16,2410,4990
2006/01/17,2410,4950
2006/01/18,2411,4945
2006/01/19,2500,5000
2006/01/20,2500,5000
2006/01/23,2520,5000
2006/01/24,2500,4988
2006/01/25,2470,4985
2006/01/26,2470,5000
2006/01/27,2475,4985
2006/01/30,2425,4980
2006/01/31,2475,4850
2006/02/01,2475,4860
2006/02/02,2485,4900
2006/02/03,2460,4900
2006/02/06,2475,4925
2006/02/07,2470,4850
2006/02/08,2440,4800
2006/02/09,2457,4900
2006/02/10,2500,4840
2006/02/13,2484,4845
2006/02/14,2449,4850
2006/02/15,2430,4850
2006/02/16,2300,4880
2006/02/17,2450,4900
2006/02/20,2440,4950
2006/02/21,2450,4950
2006/02/22,2580,5010
2006/02/23,2656,5020
2006/02/24,2650,5010
2006/02/27,2690,5180
2006/02/28,2700,5250
2006/03/02,2705,5500
2006/03/03,2701,5511
2006/03/06,2775,5620
2006/03/07,2800,5500
2006/03/08,2750,5499
2006/03/09,2800,5389
2006/03/10,2800,5400
2006/03/13,2800,5590
2006/03/14,2860,5620
2006/03/15,2850,5700
2006/03/16,2850,5680
2006/03/17,2900,5627
2006/03/20,2950,5630
2006/03/22,3040,5800
2006/03/23,3115,5970
2006/03/24,3160,5990
2006/03/27,3180,5970
2006/03/28,3200,5900
2006/03/29,3180,5900
2006/03/30,3145,5800
2006/03/31,3040,5650
2006/04/03,3030,5700
2006/04/04,3025,5700
2006/04/05,2930,5690
2006/04/06,3000,5600
2006/04/07,3000,5600
2006/04/10,2998,5570
2006/04/11,2942,5500
