Date,M&R,WHBO
2005/05/04,1380,2650
2005/05/05,1375,2750
2005/05/06,1445,2800
2005/05/09,1450,2800
2005/05/10,1445,2850
2005/05/11,1430,2856
2005/05/12,1420,2875
2005/05/13,1430,2875
2005/05/16,1420,2875
2005/05/17,1445,2875
2005/05/18,1430,2860
2005/05/19,1410,2860
2005/05/20,1400,2845
2005/05/23,1365,2835
2005/05/24,1370,2700
2005/05/25,1400,2700
2005/05/26,1403,2700
2005/05/27,1400,2695
2005/05/30,1370,2700
2005/05/31,1365,2700
2005/06/01,1370,2650
2005/06/02,1375,2675
2005/06/03,1380,2680
2005/06/06,1410,2700
2005/06/07,1416,2700
2005/06/08,1412,2750
2005/06/09,1415,2800
2005/06/10,1415,2800
2005/06/13,1420,2820
2005/06/14,1380,2850
2005/06/15,1400,2850
2005/06/17,1410,2850
2005/06/20,1390,2850
2005/06/21,1401,3100
2005/06/22,1410,3090
2005/06/23,1453,3050
2005/06/24,1420,3050
2005/06/27,1400,3000
2005/06/28,1400,2990
2005/06/29,1420,2960
2005/06/30,1400,2980
2005/07/01,1400,2978
2005/07/04,1433,2980
2005/07/05,1395,2990
2005/07/06,1395,3020
2005/07/07,1395,3000
2005/07/08,1395,3060
2005/07/11,1409,3070
2005/07/12,1400,3110
2005/07/13,1400,3120
2005/07/14,1400,3150
2005/07/15,1395,3150
2005/07/18,1448,3150
2005/07/19,1435,3150
2005/07/20,1437,3200
2005/07/21,1449,3221
2005/07/22,1451,3250
2005/07/25,1485,3190
2005/07/26,1475,3200
2005/07/27,1470,3200
2005/07/28,1486,3190
2005/07/29,1480,3200
2005/08/01,1510,3265
2005/08/02,1500,3300
2005/08/03,1471,3306
2005/08/04,1470,3340
2005/08/05,1471,3340
2005/08/08,1480,3375
2005/08/10,1500,3380
2005/08/11,1490,3400
2005/08/12,1487,3390
2005/08/15,1495,3450
2005/08/16,1495,3450
2005/08/17,1502,3450
2005/08/18,1500,3440
2005/08/19,1580,3450
2005/08/22,1623,3430
2005/08/23,1600,3450
2005/08/24,1599,3450
2005/08/25,1580,3450
2005/08/26,1570,3490
2005/08/29,1560,3550
2005/08/30,1590,3545
2005/08/31,1599,3545
2005/09/01,1630,3550
2005/09/02,1700,3466
2005/09/05,1725,3450
2005/09/06,1820,3500
2005/09/07,1785,3570
2005/09/08,1755,3570
2005/09/09,1770,3600
2005/09/12,1800,3650
2005/09/13,1835,3650
2005/09/14,1835,3650
2005/09/15,1865,3666
2005/09/16,1920,3666
2005/09/19,1920,3800
2005/09/20,1902,3775
2005/09/21,1890,3760
2005/09/22,1930,3700
2005/09/23,1920,3745
2005/09/26,1930,3760
2005/09/27,1930,3795
2005/09/28,1935,3800
2005/09/29,1960,3825
2005/09/30,1965,3840
2005/10/03,1939,3850
2005/10/04,1930,3875
2005/10/05,1920,3850
2005/10/06,1900,3825
2005/10/07,1870,3800
2005/10/10,1870,3801
2005/10/11,1890,3900
2005/10/12,1960,3950
2005/10/13,1950,3900
2005/10/14,1880,3800
2005/10/17,1896,3750
2005/10/18,1875,3790
2005/10/19,1835,3800
2005/10/20,1850,3900
2005/10/21,1855,3950
2005/10/24,1900,3960
2005/10/25,1905,3980
2005/10/26,1928,4050
2005/10/27,1930,4000
2005/10/28,1930,4000
2005/10/31,1931,4030
2005/11/01,1935,4180
2005/11/02,1965,4180
2005/11/03,2000,4175
2005/11/04,2020,4140
2005/11/07,2060,4110
2005/11/08,2050,4100
2005/11/09,2020,4100
