Date,M&R,WHBO
2008/08/25,9350,12835
2008/08/26,9660,12800
2008/08/27,10250,13675
2008/08/28,10630,14000
2008/08/29,10400,13700
2008/09/01,10000,14350
2008/09/02,10100,14650
2008/09/03,10151,14400
2008/09/04,10100,14900
2008/09/05,10000,14500
2008/09/08,10200,15000
2008/09/09,10500,14600
2008/09/10,10200,14301
2008/09/11,9903,14500
2008/09/12,9900,14650
2008/09/15,9699,14210
2008/09/16,9580,14100
2008/09/17,9100,14100
2008/09/18,9135,14055
2008/09/19,9900,14375
2008/09/22,10100,14600
2008/09/23,9300,14500
2008/09/25,9301,14400
2008/09/26,9599,14450
2008/09/29,9205,14200
2008/09/30,9590,14500
2008/10/01,9651,14400
2008/10/02,9060,14050
2008/10/03,9140,14249
2008/10/06,8380,13800
2008/10/07,8500,13700
2008/10/08,8010,13261
2008/10/09,8000,13395
2008/10/10,7551,13100
2008/10/13,7550,12970
2008/10/14,7750,13048
2008/10/15,6990,12051
2008/10/16,6320,12050
2008/10/17,6025,12000
2008/10/20,5990,11700
2008/10/21,6465,12000
2008/10/22,6305,12500
2008/10/23,6200,11949
2008/10/24,6000,11450
2008/10/27,6000,10800
2008/10/28,6270,11350
2008/10/29,6299,11917
2008/10/30,6540,12000
2008/10/31,6598,11500
2008/11/03,6490,11550
2008/11/04,6535,11600
2008/11/05,6200,11800
2008/11/06,5750,11500
2008/11/07,5650,10905
2008/11/10,5800,10973
2008/11/11,5541,10990
2008/11/12,5180,10476
2008/11/13,4900,9900
2008/11/14,4800,10000
2008/11/17,4400,9676
2008/11/18,4325,9300
2008/11/19,4390,9260
2008/11/20,4220,8917
2008/11/21,3900,8750
2008/11/24,4350,9336
2008/11/25,4424,9400
2008/11/26,4601,9500
2008/11/27,5000,9718
2008/11/28,4890,9700
2008/12/01,4530,9700
2008/12/02,4050,9460
2008/12/03,3950,9000
2008/12/04,4100,9250
2008/12/05,3895,9075
2008/12/08,4141,9199
2008/12/09,4225,9777
2008/12/10,4400,9800
2008/12/11,4800,10240
2008/12/12,4680,10454
2008/12/15,4450,10600
2008/12/17,4515,10501
2008/12/18,4737,10550
2008/12/19,4510,10650
2008/12/22,4700,10751
2008/12/23,4802,10990
2008/12/24,4880,11000
2008/12/29,4800,11000
2008/12/30,4800,10700
2008/12/31,4800,10751
2009/01/02,4869,10969
2009/01/05,5100,11000
2009/01/06,5300,11500
2009/01/07,4900,11400
2009/01/08,4920,11300
2009/01/09,5010,11505
2009/01/12,5000,11800
2009/01/13,4840,11800
2009/01/14,4700,11440
2009/01/15,4650,10900
2009/01/16,4600,10538
2009/01/19,4400,10750
2009/01/20,4390,10498
2009/01/21,4430,10330
2009/01/22,4350,9900
2009/01/23,4300,9500
2009/01/26,4450,9750
2009/01/27,4325,10150
2009/01/28,4420,10100
2009/01/29,4397,9950
2009/01/30,4320,9718
2009/02/02,4100,9700
2009/02/03,4100,9080
2009/02/04,4170,9208
2009/02/05,4201,9300
2009/02/06,4340,9350
2009/02/09,4330,9445
2009/02/10,4350,9499
2009/02/11,4285,9480
2009/02/12,4250,9390
2009/02/13,4000,9250
2009/02/16,3939,9100
2009/02/17,3650,8801
2009/02/18,3499,9000
2009/02/19,3500,9000
2009/02/20,3498,8600
2009/02/23,3750,8699
2009/02/24,3650,8500
2009/02/25,3739,8620
2009/02/26,3700,8635
2009/02/27,3706,8500
2009/03/02,3759,8700
2009/03/03,3775,8650
2009/03/04,3850,8600
2009/03/05,3850,8658
2009/03/06,3900,8600
2009/03/09,3900,8350
2009/03/10,3800,8200
2009/03/11,3940,8450
2009/03/12,3880,8400
2009/03/13,3945,8449
2009/03/16,3995,8550
2009/03/17,4080,8550
2009/03/18,4175,8798
2009/03/19,4325,8700
2009/03/20,4350,8554
2009/03/23,4380,8545
2009/03/24,4020,8550
2009/03/25,4200,8500
2009/03/26,4162,8500
2009/03/27,4113,8500
2009/03/30,3960,8425
2009/03/31,4050,8509
2009/04/01,4300,8700
2009/04/02,4400,9025
2009/04/03,4360,9250
2009/04/06,4300,9050
2009/04/07,4400,8995
2009/04/08,4300,8799
2009/04/09,4400,9000
2009/04/14,4650,9200
2009/04/15,4500,9199
2009/04/16,4285,9300
2009/04/17,4165,9100
2009/04/20,4005,9082
2009/04/21,4214,9100
2009/04/23,4600,9300
2009/04/24,4700,9450
2009/04/28,4750,9423
2009/04/29,4831,9826
2009/04/30,4775,10001
2009/05/04,5020,10360
2009/05/05,5194,10450
2009/05/06,4811,10350
2009/05/07,4700,10546
2009/05/08,4649,10600
2009/05/11,4600,10550
2009/05/12,4665,10350
2009/05/13,4529,10270
2009/05/14,4440,10020
2009/05/15,4617,10001
2009/05/18,4540,10250
2009/05/19,5000,10400
2009/05/20,5095,10400
2009/05/21,4865,10057
2009/05/22,4800,9815
2009/05/25,4899,10200
2009/05/26,4960,10200
2009/05/27,5145,10330
2009/05/28,5000,10300
2009/05/29,4981,10355
2009/06/01,5130,11045
2009/06/02,4982,11400
2009/06/03,5010,10900
2009/06/04,5101,10950
2009/06/05,5051,10850
2009/06/08,5000,10650
2009/06/09,5080,10551
2009/06/10,5200,10700
2009/06/11,5150,10645
2009/06/12,5200,10620
2009/06/15,5145,10650
2009/06/17,5035,10650
2009/06/18,4984,10661
2009/06/19,5047,10750
2009/06/22,4870,10900
2009/06/23,4740,10600
2009/06/24,4700,10550
2009/06/25,4723,10490
2009/06/26,4905,10470
2009/06/29,4925,10450
2009/06/30,5000,10620
2009/07/01,5043,10650
2009/07/02,4900,10900
2009/07/03,4740,10899
2009/07/06,4683,10826
2009/07/07,4745,10800
2009/07/08,4790,10700
2009/07/09,4870,10900
2009/07/10,4880,10775
2009/07/13,4970,10651
2009/07/14,4959,10880
2009/07/15,5020,11015
2009/07/16,5040,11070
2009/07/17,5000,10951
2009/07/20,5099,11095
2009/07/21,5035,11300
2009/07/22,4970,11300
2009/07/23,4990,11395
2009/07/24,5149,11493
2009/07/27,4925,11499
2009/07/28,4799,11500
2009/07/29,4700,11311
2009/07/30,4798,11355
2009/07/31,4745,11300
2009/08/03,4895,11300
2009/08/04,4915,11300
2009/08/05,5077,11799
2009/08/06,5085,11700
2009/08/07,5080,11700
2009/08/11,4900,11646
2009/08/12,4750,11250
2009/08/13,4900,11200
2009/08/14,4899,11250
2009/08/17,4600,11000
2009/08/18,4771,11200
2009/08/19,4868,11050
2009/08/20,4810,11177
2009/08/21,4802,11210
2009/08/24,4850,11300
2009/08/25,4700,11200
2009/08/26,4775,11105
2009/08/27,4895,11150
2009/08/28,5180,11450
2009/08/31,5500,11500
2009/09/01,5350,11690
2009/09/02,5175,11116
2009/09/03,5313,11400
2009/09/04,5359,11521
2009/09/07,5180,11805
2009/09/08,5225,11699
2009/09/09,5561,11850
2009/09/10,5780,11820
2009/09/11,6270,12250
2009/09/14,6100,12050
2009/09/15,6015,11930
2009/09/16,6301,12450
2009/09/17,6600,12490
2009/09/18,6450,12795
2009/09/21,6280,12550
2009/09/22,6330,12512
2009/09/23,6300,12508
2009/09/25,6275,12840
2009/09/28,6180,12764
2009/09/29,6096,12509
2009/09/30,5935,12619
2009/10/01,5995,12314
2009/10/02,6000,11860
2009/10/05,5761,12000
2009/10/06,5770,12140
2009/10/07,5806,12072
2009/10/08,5900,12100
2009/10/09,5900,12200
2009/10/12,5887,12220
2009/10/13,5813,12099
2009/10/14,5800,11900
2009/10/15,5730,12075
2009/10/16,5730,12230
2009/10/19,5856,12031
2009/10/20,5949,12000
2009/10/21,5680,11651
2009/10/22,5729,11600
2009/10/23,5725,11600
2009/10/26,5725,11650
2009/10/27,5480,11200
2009/10/28,5460,11200
2009/10/29,5549,11250
2009/10/30,5638,11400
2009/11/02,5510,11200
2009/11/03,5465,11160
2009/11/04,5600,11270
2009/11/05,5465,11259
2009/11/06,5450,11350
2009/11/09,5410,11406
2009/11/10,5395,11410
2009/11/11,5600,11704
2009/11/12,5625,11761
2009/11/13,5520,11623
2009/11/16,5525,11550
2009/11/17,5580,11800
2009/11/18,5480,11799
2009/11/19,5425,11500
2009/11/20,5470,11350
2009/11/23,5448,11399
2009/11/24,5285,11300
2009/11/25,5100,11005
2009/11/26,4860,10500
2009/11/27,4840,10600
2009/11/30,4784,10455
2009/12/01,4850,10400
2009/12/02,4780,10390
2009/12/03,4700,10407
2009/12/04,4725,10130
2009/12/07,4599,9945
2009/12/08,4500,10000
2009/12/09,4400,10099
2009/12/10,4500,10250
2009/12/11,4500,10400
2009/12/14,4719,10448
2009/12/15,4599,10376
2009/12/17,4460,10900
2009/12/18,4510,11000
2009/12/21,4460,11193
2009/12/22,4500,10870
2009/12/23,4485,10800
2009/12/24,4538,10950
2009/12/28,4574,10950
2009/12/29,4475,10900
2009/12/30,4520,10655
2009/12/31,4648,10749
2010/01/04,4680,10632
2010/01/05,4575,10850
2010/01/06,4569,10865
2010/01/07,4549,10668
2010/01/08,4525,10679
2010/01/11,4530,10700
2010/01/12,4470,10767
2010/01/13,4330,10600
2010/01/14,4425,10500
2010/01/15,4400,10340
2010/01/18,4396,10299
2010/01/19,4399,10248
2010/01/20,4340,10200
2010/01/21,4299,10016
2010/01/22,4190,9800
2010/01/25,4200,9750
2010/01/26,4040,9600
2010/01/27,4000,9758
2010/01/28,3950,9800
2010/01/29,3952,9798
2010/02/01,4020,9800
2010/02/02,4120,9860
2010/02/03,4332,10150
2010/02/04,4300,9999
2010/02/05,4173,9800
2010/02/08,4200,9760
2010/02/09,4220,10059
2010/02/10,4280,10200
2010/02/11,4241,10200
2010/02/12,4131,10195
2010/02/15,4218,10000
2010/02/16,4175,10050
2010/02/17,4469,10400
2010/02/18,4170,10280
2010/02/19,3953,10100
2010/02/22,4020,10140
2010/02/23,3989,10340
2010/02/24,3905,10500
2010/02/25,3835,10700
2010/02/26,3860,10846
2010/03/01,3750,10841
2010/03/02,3830,10823
2010/03/03,3920,10820
2010/03/04,3890,10800
2010/03/05,3850,10900
2010/03/08,3980,11000
2010/03/09,3835,10950
2010/03/10,3850,11090
2010/03/11,3830,11500
2010/03/12,3800,11799
2010/03/15,3790,11450
2010/03/16,3850,11445
2010/03/17,3900,11451
2010/03/18,3915,11512
2010/03/19,3830,11403
2010/03/23,3860,11360
2010/03/24,3941,11700
2010/03/25,4100,12009
2010/03/26,4230,12000
2010/03/29,4390,12300
2010/03/30,4362,12100
2010/03/31,4329,11855
2010/04/01,4292,11456
2010/04/06,4550,11763
2010/04/07,4661,11865
2010/04/08,4675,11799
2010/04/09,4699,11840
2010/04/12,4600,11588
2010/04/13,4580,11590
2010/04/14,4645,11680
2010/04/15,4620,11760
2010/04/16,4602,11780
2010/04/19,4499,11700
2010/04/20,4490,11669
2010/04/21,4400,11745
2010/04/22,4300,11835
2010/04/23,4297,11750
2010/04/26,4300,12000
2010/04/28,4220,12000
2010/04/29,4220,12000
2010/04/30,4140,12000
2010/05/03,4100,12100
2010/05/04,4089,12000
2010/05/05,4102,11700
2010/05/06,4000,11600
2010/05/07,3804,11450
2010/05/10,4020,11984
2010/05/11,4030,11700
2010/05/12,4165,12234
2010/05/13,4100,11750
2010/05/14,4020,11750
2010/05/17,4000,11717
2010/05/18,4000,11600
2010/05/19,3950,11451
2010/05/20,3840,11250
2010/05/21,3882,11344
2010/05/24,3931,11360
2010/05/25,3830,11200
2010/05/26,3975,11302
2010/05/27,4103,11550
2010/05/28,4130,11620
2010/05/31,4158,11600
2010/06/01,4060,11500
2010/06/02,4099,11400
2010/06/03,4040,11250
2010/06/04,3880,10999
2010/06/07,3850,10651
2010/06/08,3870,10684
2010/06/09,3890,10726
2010/06/10,3900,10850
2010/06/11,3930,10860
2010/06/14,3950,10897
2010/06/15,3957,11200
2010/06/17,4070,11500
2010/06/18,4179,11490
2010/06/21,4089,11450
2010/06/22,4140,11100
2010/06/23,3970,10951
2010/06/24,4010,11200
2010/06/25,3980,10899
2010/06/28,4001,10900
2010/06/29,3939,11200
2010/06/30,3880,10930
2010/07/01,3811,10600
2010/07/02,3889,10800
2010/07/05,3765,10701
2010/07/06,3825,10850
2010/07/07,3755,10777
2010/07/08,3735,10883
2010/07/09,3780,10997
2010/07/12,3840,11092
2010/07/13,3850,11001
2010/07/14,3901,10760
2010/07/15,3905,11000
2010/07/16,3910,10900
2010/07/19,3904,10741
2010/07/20,3930,10650
2010/07/21,4003,10550
2010/07/22,3970,10900
2010/07/23,3930,10662
2010/07/26,4010,11000
2010/07/27,4040,11269
2010/07/28,4165,11199
2010/07/29,4279,11250
2010/07/30,4202,11295
2010/08/02,4243,11076
2010/08/03,4221,10994
2010/08/04,4219,11000
2010/08/05,4215,11051
2010/08/06,4275,11200
2010/08/10,4189,11100
2010/08/11,4109,10850
2010/08/12,4129,11394
2010/08/13,4150,11670
2010/08/16,4201,11470
2010/08/17,4250,11399
2010/08/18,4080,11257
2010/08/19,4130,11287
2010/08/20,4100,11210
2010/08/23,4130,10820
2010/08/24,4097,10923
2010/08/25,4038,10500
2010/08/26,4200,11260
2010/08/27,4100,11250
2010/08/30,4150,11260
2010/08/31,4150,11300
2010/09/01,4085,11150
2010/09/02,4070,11047
2010/09/03,4065,11249
2010/09/06,4065,11197
2010/09/07,4047,11051
2010/09/08,3995,10700
2010/09/09,3999,11075
2010/09/10,4050,11290
2010/09/13,4059,11450
2010/09/14,4080,11449
2010/09/15,4048,11550
2010/09/16,4056,11665
2010/09/17,4075,11875
2010/09/20,4070,11872
2010/09/21,4174,11885
2010/09/22,4106,11900
2010/09/23,4171,11900
2010/09/27,4198,12090
2010/09/28,4290,12180
2010/09/29,4351,12225
2010/09/30,4490,12500
2010/10/01,4470,12400
2010/10/04,4500,12680
2010/10/05,4440,12550
2010/10/06,4439,12590
2010/10/07,4440,12553
2010/10/08,4400,12560
2010/10/11,4360,12700
2010/10/12,4293,12700
2010/10/13,4438,12885
2010/10/14,4456,12900
2010/10/15,4501,12900
2010/10/18,4565,12700
2010/10/19,4500,12700
2010/10/20,4535,12746
2010/10/21,4510,12999
2010/10/22,4447,12900
2010/10/25,4430,13300
2010/10/26,4418,13247
2010/10/27,4400,13500
2010/10/28,4275,13480
2010/10/29,4340,13538
2010/11/01,4369,13400
2010/11/02,4440,13503
2010/11/03,4380,13490
2010/11/04,4340,13384
2010/11/05,4283,13300
2010/11/08,4290,13150
2010/11/09,4290,13200
2010/11/10,4299,13500
2010/11/11,4249,13205
2010/11/12,4200,13400
2010/11/15,4189,13261
2010/11/16,4095,13375
2010/11/17,4077,13250
2010/11/18,4094,13745
2010/11/19,4087,13651
2010/11/22,4060,13351
2010/11/23,4012,13539
2010/11/24,4000,13500
2010/11/25,3970,13355
2010/11/26,3925,13251
2010/11/29,3900,13250
2010/11/30,3849,13226
2010/12/01,3900,13282
2010/12/02,3890,13313
2010/12/03,3875,13440
2010/12/06,3890,13505
2010/12/07,3875,13400
2010/12/08,3885,13446
2010/12/09,3887,13420
2010/12/10,3900,13550
2010/12/13,3876,13560
2010/12/14,3859,13550
2010/12/15,3870,13460
2010/12/17,3920,13675
2010/12/20,3950,13664
2010/12/21,3845,13740
2010/12/22,3900,13800
2010/12/23,3921,13885
2010/12/24,3975,13749
2010/12/28,3974,13898
2010/12/29,3976,13989
2010/12/30,4010,13950
2010/12/31,4017,13900
2011/01/03,4000,13900
2011/01/04,3980,13950
2011/01/05,4000,13949
2011/01/06,4000,13925
2011/01/07,4059,14086
2011/01/10,3933,13911
2011/01/11,4001,14000
2011/01/12,4014,13805
2011/01/13,4031,13800
2011/01/14,4020,13880
2011/01/17,4025,13800
2011/01/18,3994,13650
2011/01/19,4006,13500
2011/01/20,4022,13400
2011/01/21,3990,13300
2011/01/24,3930,13170
2011/01/25,3960,12980
2011/01/26,3945,12900
2011/01/27,3965,12990
2011/01/28,3460,12649
2011/01/31,3110,12300
2011/02/01,2965,11993
2011/02/02,2956,11829
2011/02/03,3000,12000
2011/02/04,3061,12000
2011/02/07,3045,12075
2011/02/08,2995,12090
2011/02/09,2950,12100
2011/02/10,2970,12101
2011/02/11,3000,12200
2011/02/14,2955,12425
2011/02/15,2970,12280
2011/02/16,2905,12400
2011/02/17,2910,12400
2011/02/18,2875,12400
2011/02/21,2875,12023
2011/02/22,2801,11761
2011/02/23,2741,11747
2011/02/24,2497,11588
2011/02/25,2507,11570
2011/02/28,2500,11600
2011/03/01,2400,11590
2011/03/02,2315,11480
2011/03/03,2400,11600
2011/03/04,2460,11540
2011/03/07,2508,11353
2011/03/08,2600,11350
2011/03/09,2590,11339
2011/03/10,2570,11200
2011/03/11,2534,11190
2011/03/14,2540,11100
2011/03/15,2460,11000
2011/03/16,2508,10897
2011/03/17,2500,10700
2011/03/18,2625,10801
2011/03/22,2692,10620
2011/03/23,2600,10800
2011/03/24,2600,10650
2011/03/25,2560,10570
2011/03/28,2617,10750
2011/03/29,2646,10555
2011/03/30,2675,10600
2011/03/31,2654,10800
2011/04/01,2690,10900
2011/04/04,2700,10900
2011/04/05,2700,11179
2011/04/06,2750,11497
2011/04/07,2800,11650
2011/04/08,2815,11700
2011/04/11,2765,11450
2011/04/12,2700,11351
2011/04/13,2722,11491
2011/04/14,2700,11439
2011/04/15,2645,11500
2011/04/18,2528,11401
2011/04/19,2508,11301
2011/04/20,2505,11500
2011/04/21,2510,11346
2011/04/26,2510,11386
2011/04/28,2485,11295
2011/04/29,2520,11400
2011/05/03,2500,11461
2011/05/04,2514,11000
2011/05/05,2527,11139
2011/05/06,2626,11031
2011/05/09,2620,10776
2011/05/10,2602,10816
2011/05/11,2630,10935
2011/05/12,2651,10850
2011/05/13,2660,10876
2011/05/16,2658,10878
2011/05/17,2665,10900
2011/05/19,2680,10900
2011/05/20,2660,10700
2011/05/23,2638,10686
2011/05/24,2685,10675
2011/05/25,2715,10660
2011/05/26,2749,10505
2011/05/27,2804,10630
2011/05/30,2817,10900
2011/05/31,2811,10889
2011/06/01,2821,10791
2011/06/02,2751,10744
2011/06/03,2754,10700
2011/06/06,2760,10699
2011/06/07,2920,10887
2011/06/08,2927,11050
2011/06/09,2970,10940
2011/06/10,2982,11052
2011/06/13,2980,11025
2011/06/14,2980,10940
2011/06/15,2855,10925
2011/06/17,2820,10900
2011/06/20,2776,10929
2011/06/21,2850,11015
2011/06/22,2828,11063
2011/06/23,2765,11040
2011/06/24,2775,10925
2011/06/27,2750,10832
2011/06/28,2782,10900
2011/06/29,2970,10839
2011/06/30,3000,11000
2011/07/01,3000,11000
2011/07/04,3011,11050
2011/07/05,3021,11274
2011/07/06,2998,11201
2011/07/07,3030,11184
2011/07/08,3040,11225
2011/07/11,2996,10965
2011/07/12,2980,10980
2011/07/13,3080,10906
2011/07/14,3076,10920
2011/07/15,3090,10963
2011/07/18,3050,10860
2011/07/19,3050,11000
2011/07/20,2930,11040
2011/07/21,2920,10870
2011/07/22,3025,10900
2011/07/25,2970,10745
2011/07/26,3003,10800
2011/07/27,3060,10700
2011/07/28,3052,11000
2011/07/29,3080,10800
2011/08/01,3050,10600
2011/08/02,2992,10375
2011/08/03,2965,10500
2011/08/04,2907,10400
2011/08/05,2838,10545
2011/08/08,2798,10250
2011/08/10,2729,10400
2011/08/11,2775,10190
2011/08/12,2750,10140
2011/08/15,2760,10150
2011/08/16,2732,9850
2011/08/17,2800,10180
2011/08/18,2720,10000
2011/08/19,2690,9800
2011/08/22,2769,9790
2011/08/23,2750,9596
2011/08/24,2771,9451
2011/08/25,2752,9670
2011/08/26,2745,9651
2011/08/29,2756,9625
2011/08/30,2765,9699
2011/08/31,2781,10188
2011/09/01,2712,9980
2011/09/02,2730,9770
2011/09/05,2695,9801
2011/09/06,2662,9723
2011/09/07,2653,9905
2011/09/08,2680,9995
2011/09/09,2682,10000
2011/09/12,2600,9900
2011/09/13,2607,9900
2011/09/14,2601,9997
2011/09/15,2611,10100
2011/09/16,2624,10262
2011/09/19,2630,10156
2011/09/20,2655,10398
2011/09/21,2626,10300
2011/09/22,2600,10018
2011/09/23,2600,10027
2011/09/26,2679,10300
2011/09/27,2722,10355
2011/09/28,2670,10370
2011/09/29,2675,10344
2011/09/30,2600,10400
2011/10/03,2695,10300
2011/10/04,2650,10379
2011/10/05,2600,10275
2011/10/06,2615,10009
2011/10/07,2600,10175
2011/10/10,2617,10225
2011/10/11,2612,10399
2011/10/12,2600,10450
2011/10/13,2640,10450
2011/10/14,2700,10700
2011/10/17,2660,10445
2011/10/18,2560,10266
2011/10/19,2520,10400
2011/10/20,2462,10505
2011/10/21,2450,10544
2011/10/24,2449,10700
2011/10/25,2399,10625
2011/10/26,2350,10625
2011/10/27,2390,10650
2011/10/28,2390,10844
2011/10/31,2420,10850
2011/11/01,2447,10800
2011/11/02,2510,11050
2011/11/03,2493,11090
2011/11/04,2470,10995
2011/11/07,2440,10700
2011/11/08,2444,10770
2011/11/09,2436,10794
2011/11/10,2447,10650
2011/11/11,2448,10700
2011/11/14,2447,10700
2011/11/15,2500,10700
2011/11/16,2505,10580
2011/11/17,2521,10700
2011/11/18,2480,10500
2011/11/21,2445,10516
2011/11/22,2450,10550
2011/11/23,2376,10259
2011/12/02,2376,10259
2011/12/05,2376,10259
2011/12/06,2376,10259
2011/12/07,2376,10259
2011/12/08,2376,10259
2011/12/09,2376,10259
2011/12/12,2376,10259
2011/12/13,2515,10317
2011/12/14,2402,10322
2011/12/15,2381,10400
2011/12/19,2470,10407
2011/12/20,2462,10635
2011/12/21,2530,10600
2011/12/22,2590,10630
2011/12/23,2585,10600
2011/12/28,2600,10600
2011/12/29,2590,10500
2011/12/30,2565,10519
2012/01/03,2600,10500
2012/01/04,2615,10700
2012/01/05,2635,10600
2012/01/06,2669,10700
2012/01/09,2643,10670
2012/01/10,2634,10750
2012/01/11,2632,10680
2012/01/12,2700,10911
2012/01/13,2669,10940
2012/01/16,2657,10856
2012/01/17,2607,10870
2012/01/18,2613,10880
2012/01/19,2599,10945
2012/01/20,2620,10995
2012/01/23,2644,11030
2012/01/24,2640,10950
2012/01/25,2640,10932
2012/01/26,2710,10795
2012/01/27,2790,10880
2012/01/30,2800,10850
2012/01/31,2680,11000
2012/02/01,2688,11000
2012/02/02,2665,11200
2012/02/03,2680,11100
2012/02/06,2678,11050
2012/02/07,2680,10795
2012/02/08,2700,10900
2012/02/09,2785,10960
2012/02/10,2830,11333
2012/02/13,2794,11520
2012/02/14,2795,11499
2012/02/15,2794,11502
2012/02/16,2795,11500
2012/02/17,2780,11620
2012/02/20,2785,11780
2012/02/21,2777,11799
2012/02/22,2830,11820
2012/02/23,2799,11799
2012/02/24,2800,11740
2012/02/27,2795,11800
2012/02/28,2830,11800
2012/02/29,2900,11830
2012/03/01,2900,11885
2012/03/02,2853,11905
2012/03/05,2850,11950
2012/03/06,2800,11935
2012/03/07,2773,11951
2012/03/08,2840,12285
2012/03/09,2925,12450
2012/03/12,2962,12477
2012/03/13,3106,12558
2012/03/14,3025,12670
2012/03/15,2985,12468
2012/03/16,2877,12500
2012/03/19,2790,12665
2012/03/20,2750,12550
2012/03/22,2761,12800
2012/03/23,2850,13000
2012/03/26,2785,12890
2012/03/27,2811,12931
2012/03/28,2850,13000
2012/03/29,2800,13000
2012/03/30,2810,13000
2012/04/02,2810,13050
2012/04/03,2796,13344
2012/04/04,2810,13440
2012/04/05,2880,13500
2012/04/10,2830,13600
2012/04/11,2810,13780
2012/04/12,2815,13800
2012/04/13,2830,13738
2012/04/16,2800,13700
2012/04/17,2800,13699
2012/04/18,2800,13600
2012/04/19,2756,13617
2012/04/20,2836,13560
2012/04/23,2729,13375
2012/04/24,2751,13306
2012/04/25,2800,13321
2012/04/26,2819,13320
2012/04/30,2859,13595
2012/05/02,2820,13551
2012/05/03,2824,13565
2012/05/04,2824,13250
2012/05/07,2835,13335
2012/05/08,2800,13133
2012/05/09,2750,12945
2012/05/10,2650,12673
2012/05/11,2711,12621
2012/05/14,2696,12540
2012/05/15,2702,12452
2012/05/16,2711,12500
2012/05/17,2700,12700
2012/05/18,2688,12300
2012/05/21,2700,12420
2012/05/22,2691,12700
2012/05/23,2621,12557
2012/05/24,2629,12424
2012/05/25,2626,12650
2012/05/28,2679,12787
2012/05/29,2700,12870
2012/05/30,2678,12782
2012/05/31,2680,13300
2012/06/01,2630,13340
2012/06/04,2610,13155
2012/06/05,2647,13205
2012/06/06,2635,13199
2012/06/07,2687,13016
2012/06/08,2689,13199
2012/06/11,2693,13180
2012/06/12,2755,13153
2012/06/13,2730,13619
2012/06/14,2710,13400
2012/06/15,2741,13250
2012/06/18,2774,13498
2012/06/19,2740,13350
2012/06/20,2700,13057
2012/06/21,2654,13076
2012/06/22,2590,12956
2012/06/25,2511,12861
2012/06/26,2507,12990
2012/06/27,2483,12890
2012/06/28,2390,12825
2012/06/29,2471,12924
2012/07/02,2450,12653
2012/07/03,2500,12884
2012/07/04,2480,12800
2012/07/05,2508,12799
2012/07/06,2500,12699
2012/07/09,2490,12700
2012/07/10,2490,12590
2012/07/11,2461,12426
2012/07/12,2440,12322
2012/07/13,2433,12556
2012/07/16,2415,12638
2012/07/17,2350,12837
2012/07/18,2349,12700
2012/07/19,2350,12685
2012/07/20,2343,12615
2012/07/23,2277,12620
2012/07/24,2298,12600
2012/07/25,2290,13300
2012/07/26,2290,13097
2012/07/27,2340,13150
2012/07/30,2310,13000
2012/07/31,2355,13061
2012/08/01,2320,12800
2012/08/02,2330,12801
2012/08/03,2345,12860
2012/08/06,2325,12800
2012/08/07,2335,12760
2012/08/08,2340,12440
2012/08/10,2345,12565
2012/08/13,2342,12457
2012/08/14,2355,12700
2012/08/15,2335,12601
2012/08/16,2348,12690
2012/08/17,2310,13082
2012/08/20,2310,12950
2012/08/21,2300,13100
2012/08/22,2273,13002
2012/08/23,2282,13150
2012/08/24,2230,13000
2012/08/27,2214,13036
2012/08/28,2215,13000
2012/08/29,2180,13251
2012/08/30,2120,13170
2012/08/31,2181,13179
2012/09/03,2239,13800
2012/09/04,2175,14200
2012/09/05,2170,14150
2012/09/06,2207,14375
2012/09/07,2311,14428
2012/09/10,2329,14745
2012/09/11,2298,14462
2012/09/12,2330,14729
2012/09/13,2240,14681
2012/09/14,2348,14640
2012/09/17,2374,14400
2012/09/18,2391,14570
2012/09/19,2364,14600
2012/09/20,2305,14350
2012/09/21,2290,13821
2012/09/25,2289,13881
2012/09/26,2232,13800
2012/09/27,2270,13781
2012/09/28,2211,13775
2012/10/01,2194,13875
2012/10/02,2234,13960
2012/10/03,2190,14310
2012/10/04,2220,14233
2012/10/05,2210,14210
2012/10/08,2125,13975
2012/10/09,2125,13650
2012/10/10,2108,13700
2012/10/11,2131,13758
2012/10/12,2125,13810
2012/10/15,2126,13641
2012/10/16,2190,14083
2012/10/17,2200,14180
2012/10/18,2209,14095
2012/10/19,2170,13855
2012/10/22,2140,13834
2012/10/23,2144,13875
2012/10/24,2177,14000
2012/10/25,2175,14152
2012/10/26,2174,14150
2012/10/29,2140,14021
2012/10/30,2165,14154
2012/10/31,2245,14210
2012/11/01,2187,14210
2012/11/02,2269,14360
2012/11/05,2265,14700
2012/11/06,2258,14895
2012/11/07,2249,14990
2012/11/08,2249,15126
2012/11/09,2184,15199
2012/11/12,2150,15250
2012/11/13,2111,14867
2012/11/14,2135,14900
2012/11/15,2160,14889
2012/11/16,2159,14900
2012/11/19,2180,14900
2012/11/21,2170,14927
2012/11/22,2223,14933
2012/11/23,2260,14535
2012/11/24,2260,14535
2012/11/25,2260,14535
2012/11/26,2215,14650
2012/11/27,2215,14660
2012/11/28,2130,14350
2012/11/29,2157,14300
2012/11/30,2145,14300
2012/12/03,2116,14550
2012/12/04,2130,14700
2012/12/05,2155,14699
2012/12/06,2152,14580
2012/12/07,2155,14440
2012/12/10,2197,14400
2012/12/11,2235,14640
2012/12/12,2363,14800
2012/12/13,2389,15301
2012/12/14,2360,15150
