Date,Coronation,Brait
2005/05/05,365,1250
2005/05/06,365,1240
2005/05/09,365,1250
2005/05/10,375,1265
2005/05/11,387,1310
2005/05/12,390,1300
2005/05/13,385,1270
2005/05/16,373,1290
2005/05/17,380,1299
2005/05/18,390,1300
2005/05/19,380,1310
2005/05/20,400,1300
2005/05/23,400,1310
2005/05/24,400,1312
2005/05/25,400,1312
2005/05/26,400,1315
2005/05/27,410,1420
2005/05/30,419,1400
2005/05/31,420,1372
2005/06/01,410,1359
2005/06/02,420,1375
2005/06/03,410,1400
2005/06/06,415,1390
2005/06/07,415,1350
2005/06/08,415,1360
2005/06/09,415,1320
2005/06/10,422,1307
2005/06/13,420,1325
2005/06/14,417,1330
2005/06/15,405,1330
2005/06/17,410,1350
2005/06/20,410,1340
2005/06/21,410,1345
2005/06/22,411,1345
2005/06/23,410,1345
2005/06/24,410,1320
2005/06/27,385,1320
2005/06/28,395,1325
2005/06/29,405,1330
2005/06/30,395,1350
2005/07/01,395,1320
2005/07/04,395,1310
2005/07/05,390,1300
2005/07/06,395,1320
2005/07/07,400,1330
2005/07/08,400,1345
2005/07/11,405,1355
2005/07/12,420,1375
2005/07/13,425,1405
2005/07/14,426,1420
2005/07/15,425,1440
2005/07/18,430,1448
2005/07/19,435,1465
2005/07/20,431,1490
2005/07/21,420,1510
2005/07/22,425,1515
2005/07/25,450,1521
2005/07/26,450,1550
2005/07/27,450,1570
2005/07/28,456,1560
2005/07/29,455,1583
2005/08/01,450,1610
2005/08/02,455,1700
2005/08/03,460,1649
2005/08/04,480,1700
2005/08/05,480,1699
2005/08/08,490,1730
2005/08/10,495,1750
2005/08/11,497,1759
2005/08/12,495,1801
2005/08/15,495,1830
2005/08/16,495,1828
2005/08/17,485,1790
2005/08/18,475,1800
2005/08/19,485,1800
2005/08/22,480,1840
2005/08/23,490,1850
2005/08/24,485,1840
2005/08/25,470,1830
2005/08/26,465,1812
2005/08/29,460,1790
2005/08/30,470,1750
2005/08/31,470,1780
2005/09/01,479,1799
2005/09/02,480,1825
2005/09/05,481,1790
2005/09/06,500,1824
2005/09/07,501,1825
2005/09/08,500,1810
2005/09/09,501,1820
2005/09/12,500,1820
2005/09/13,490,1870
2005/09/14,500,1860
2005/09/15,515,1875
2005/09/16,520,1880
2005/09/19,523,1870
2005/09/20,520,1840
2005/09/21,525,1840
2005/09/22,540,1806
2005/09/23,538,1760
2005/09/26,545,1765
2005/09/27,545,1750
2005/09/28,545,1775
2005/09/29,530,1780
2005/09/30,550,1840
2005/10/03,535,1875
2005/10/04,539,1941
2005/10/05,535,1935
2005/10/06,530,1880
2005/10/07,525,1900
2005/10/10,503,1870
2005/10/11,520,1865
2005/10/12,510,1830
2005/10/13,500,1779
2005/10/14,510,1750
2005/10/17,540,1745
2005/10/18,530,1737
2005/10/19,500,1700
2005/10/20,506,1680
2005/10/21,517,1710
2005/10/24,515,1660
2005/10/25,505,1750
2005/10/26,550,1770
2005/10/27,540,1800
2005/10/28,539,1800
2005/10/31,545,1840
2005/11/01,550,1830
2005/11/02,545,1830
2005/11/03,555,1900
2005/11/04,565,1885
2005/11/07,590,1893
2005/11/08,581,1851
2005/11/09,580,1786
2005/11/10,575,1870
2005/11/11,575,1890
2005/11/14,585,1825
2005/11/15,575,1840
2005/11/16,559,1850
2005/11/17,570,1840
2005/11/18,570,1840
2005/11/21,560,1830
2005/11/22,558,1800
2005/11/23,550,1820
2005/11/24,550,1800
2005/11/25,535,1860
2005/11/28,545,1855
2005/11/29,520,1815
2005/11/30,515,1805
2005/12/01,515,1820
2005/12/02,515,1850
2005/12/05,515,1870
2005/12/06,520,1870
2005/12/07,520,1870
2005/12/08,506,1873
2005/12/09,508,1881
2005/12/12,520,1885
2005/12/13,535,1880
2005/12/14,530,1880
2005/12/15,530,1880
2005/12/19,535,1890
2005/12/20,538,1860
2005/12/21,545,1870
2005/12/22,540,1873
2005/12/23,545,1880
2005/12/27,555,1880
2005/12/28,545,1902
2005/12/29,543,1940
2005/12/30,550,1949
2006/01/03,555,1990
2006/01/04,556,2030
2006/01/05,575,2040
2006/01/06,575,2050
2006/01/09,589,2120
2006/01/10,595,2146
2006/01/11,635,2210
2006/01/12,629,2280
2006/01/13,610,2280
2006/01/16,620,2270
2006/01/17,602,2320
2006/01/18,610,2307
2006/01/19,625,2395
2006/01/20,605,2390
2006/01/23,620,2375
2006/01/24,615,2385
2006/01/25,610,2379
2006/01/26,612,2375
2006/01/27,615,2350
2006/01/30,620,2310
2006/01/31,620,2252
2006/02/01,620,2280
2006/02/02,620,2310
2006/02/03,620,2300
2006/02/06,600,2270
2006/02/07,600,2300
2006/02/08,600,2300
2006/02/09,604,2275
2006/02/10,605,2270
2006/02/13,600,2230
2006/02/14,600,2250
2006/02/15,601,2260
2006/02/16,600,2280
2006/02/17,610,2340
2006/02/20,605,2345
2006/02/21,607,2300
2006/02/22,610,2300
2006/02/23,615,2360
2006/02/24,615,2380
2006/02/27,625,2400
2006/02/28,625,2301
2006/03/02,621,2350
2006/03/03,613,2355
2006/03/06,620,2350
2006/03/07,605,2390
2006/03/08,590,2300
2006/03/09,600,2200
2006/03/10,601,2250
2006/03/13,616,2325
2006/03/14,618,2350
2006/03/15,618,2380
2006/03/16,619,2400
2006/03/17,625,2505
2006/03/20,635,2575
2006/03/22,635,2610
2006/03/23,635,2625
2006/03/24,635,2550
2006/03/27,635,2550
2006/03/28,630,2450
2006/03/29,633,2500
2006/03/30,635,2513
2006/03/31,635,2500
2006/04/03,645,2500
2006/04/04,650,2450
2006/04/05,645,2440
2006/04/06,650,2400
2006/04/07,660,2399
2006/04/10,650,2360
2006/04/11,650,2350
2006/04/12,650,2363
2006/04/13,650,2390
2006/04/18,632,2401
2006/04/19,650,2450
2006/04/20,640,2500
2006/04/21,640,2475
2006/04/24,635,2475
2006/04/25,630,2500
2006/04/26,630,2500
2006/04/28,629,2499
2006/05/02,630,2498
2006/05/03,630,2500
2006/05/04,630,2520
2006/05/05,620,2580
2006/05/08,620,2550
2006/05/09,620,2650
2006/05/10,625,2650
2006/05/11,620,2685
2006/05/12,605,2575
2006/05/15,599,2470
2006/05/16,594,2525
2006/05/17,590,2500
2006/05/18,580,2490
2006/05/19,585,2460
2006/05/22,570,2371
2006/05/23,609,2480
2006/05/24,600,2500
2006/05/25,589,2480
2006/05/26,590,2500
2006/05/29,600,2550
2006/05/30,594,2552
2006/05/31,595,2520
2006/06/01,585,2525
2006/06/02,580,2480
2006/06/05,585,2470
2006/06/06,580,2401
2006/06/07,570,2320
2006/06/08,545,2300
2006/06/09,540,2200
2006/06/12,520,2200
2006/06/13,510,2100
2006/06/14,500,2090
2006/06/15,530,2100
2006/06/19,549,2150
2006/06/20,550,2100
2006/06/21,550,2160
2006/06/22,549,2150
2006/06/23,547,2149
2006/06/26,540,2089
2006/06/27,540,2099
2006/06/28,550,2050
2006/06/29,555,2123
2006/06/30,555,2150
2006/07/03,550,2150
2006/07/04,550,2149
2006/07/05,554,2050
2006/07/06,545,2040
2006/07/07,560,2100
2006/07/10,565,2110
2006/07/11,560,2100
2006/07/12,570,2070
2006/07/13,565,2050
2006/07/14,566,2050
2006/07/17,560,2040
2006/07/18,560,2032
2006/07/19,560,2050
2006/07/20,560,2051
2006/07/21,570,2060
2006/07/24,575,2060
2006/07/25,575,2166
2006/07/26,583,2219
2006/07/27,580,2180
2006/07/28,580,2190
2006/07/31,580,2200
2006/08/01,579,2195
2006/08/02,569,2185
2006/08/03,570,2185
2006/08/04,560,2050
2006/08/07,555,2039
2006/08/08,550,2000
2006/08/10,555,2020
2006/08/11,559,2070
2006/08/14,553,2135
2006/08/15,570,2130
2006/08/16,570,2086
2006/08/17,585,2097
2006/08/18,585,2100
2006/08/21,585,2135
2006/08/22,585,2125
2006/08/23,585,2100
2006/08/24,592,2105
2006/08/25,590,2100
2006/08/28,590,2106
2006/08/29,590,2125
2006/08/30,600,2110
2006/08/31,598,2175
2006/09/01,600,2210
2006/09/04,598,2300
2006/09/05,600,2290
2006/09/06,600,2270
2006/09/07,590,2200
2006/09/08,600,2175
2006/09/11,595,2100
2006/09/12,590,2080
2006/09/13,590,2080
2006/09/14,590,2060
2006/09/15,590,2100
2006/09/18,590,2130
2006/09/19,590,2121
2006/09/20,595,2106
2006/09/21,600,2121
2006/09/22,600,2125
2006/09/26,600,2130
2006/09/27,600,2100
2006/09/28,600,2100
2006/09/29,600,2125
2006/10/02,600,2115
2006/10/03,600,2075
2006/10/04,600,2100
2006/10/05,605,2110
2006/10/06,615,2100
2006/10/09,610,2100
2006/10/10,615,2194
2006/10/11,605,2165
2006/10/12,615,2176
2006/10/13,616,2165
2006/10/16,616,2165
2006/10/17,635,2180
2006/10/18,639,2185
2006/10/19,640,2285
2006/10/20,645,2287
2006/10/23,650,2270
2006/10/24,644,2320
2006/10/25,640,2320
2006/10/26,635,2319
2006/10/27,650,2300
2006/10/30,640,2280
2006/10/31,640,2300
2006/11/01,660,2310
2006/11/02,655,2395
2006/11/03,650,2310
2006/11/06,651,2286
2006/11/07,700,2297
2006/11/08,690,2300
2006/11/09,680,2285
2006/11/10,695,2330
2006/11/13,710,2365
2006/11/14,710,2345
2006/11/15,706,2380
2006/11/16,715,2380
2006/11/17,725,2380
2006/11/20,722,2300
2006/11/21,725,2300
2006/11/22,720,2310
2006/11/23,710,2310
2006/11/24,718,2350
2006/11/27,720,2390
2006/11/28,717,2375
2006/11/29,718,2399
2006/11/30,714,2405
2006/12/01,717,2400
2006/12/04,715,2375
2006/12/05,720,2400
2006/12/06,720,2435
2006/12/07,718,2425
2006/12/08,713,2410
2006/12/11,667,2390
2006/12/12,660,2380
2006/12/13,655,2390
2006/12/14,650,2370
2006/12/15,649,2400
2006/12/18,655,2400
2006/12/19,655,2405
2006/12/20,660,2460
2006/12/21,650,2450
2006/12/22,655,2475
2006/12/27,659,2499
2006/12/28,657,2525
2006/12/29,655,2550
2007/01/02,656,2545
2007/01/03,670,2515
2007/01/04,670,2500
2007/01/05,665,2515
2007/01/09,690,2606
2007/01/10,692,2650
2007/01/11,693,2705
2007/01/12,705,2800
2007/01/15,735,2855
2007/01/16,750,2935
2007/01/17,740,2900
2007/01/18,740,2930
2007/01/19,750,2905
2007/01/22,750,2900
2007/01/23,735,2929
2007/01/24,735,2910
2007/01/25,739,2930
2007/01/26,735,2930
2007/01/29,735,2920
2007/01/30,733,2930
2007/01/31,715,2970
2007/02/01,720,3100
2007/02/02,729,3170
2007/02/05,737,3070
2007/02/06,740,3150
2007/02/07,750,3120
2007/02/08,732,3060
2007/02/09,735,3030
2007/02/12,730,2970
2007/02/13,740,2900
2007/02/14,750,2950
2007/02/15,750,2900
2007/02/16,755,2890
2007/02/19,770,2885
2007/02/20,780,2875
2007/02/21,780,2884
2007/02/22,791,2900
2007/02/23,800,2885
2007/02/26,800,2860
2007/02/27,800,2730
2007/02/28,820,2671
2007/03/01,820,2700
2007/03/02,800,2650
2007/03/05,775,2615
2007/03/06,790,2700
2007/03/07,799,2650
2007/03/08,800,2675
2007/03/09,810,2650
2007/03/12,830,2710
2007/03/13,830,2720
2007/03/14,810,2670
2007/03/15,800,2690
2007/03/16,810,2690
2007/03/19,810,2690
2007/03/20,799,2680
2007/03/22,800,2715
2007/03/23,819,2798
2007/03/26,820,2800
2007/03/27,815,2820
2007/03/28,800,2800
2007/03/29,777,2888
2007/03/30,776,2920
2007/04/02,775,2950
2007/04/03,800,2965
2007/04/04,815,2975
2007/04/05,801,3006
2007/04/10,805,3000
2007/04/11,794,3030
2007/04/12,791,3001
2007/04/13,815,3000
2007/04/16,852,3005
2007/04/17,865,3016
2007/04/18,870,3030
2007/04/19,890,3090
2007/04/20,895,3021
2007/04/23,888,3030
2007/04/24,890,3030
2007/04/25,880,3060
2007/04/26,870,3075
2007/04/30,861,3100
2007/05/02,917,3150
2007/05/03,900,3250
2007/05/04,910,3249
2007/05/07,908,3200
2007/05/08,900,3170
2007/05/09,900,3100
2007/05/10,900,3100
2007/05/11,900,3075
2007/05/14,900,3100
2007/05/15,890,3076
2007/05/16,900,3050
2007/05/17,894,3000
2007/05/18,895,3050
2007/05/21,880,3065
2007/05/22,851,3065
2007/05/23,880,3060
2007/05/24,870,3080
2007/05/25,869,3050
2007/05/28,860,3115
2007/05/29,860,3140
2007/05/30,854,3200
2007/05/31,854,3220
2007/06/01,860,3220
2007/06/04,845,3099
2007/06/05,846,3060
2007/06/06,835,3150
2007/06/07,844,3149
2007/06/08,844,3050
2007/06/11,850,3099
2007/06/12,849,3100
2007/06/13,845,3055
2007/06/14,855,3055
2007/06/15,848,3050
2007/06/18,845,3070
2007/06/19,846,3100
2007/06/20,845,3078
2007/06/21,845,3070
2007/06/22,846,3050
2007/06/25,825,3050
2007/06/26,810,3020
2007/06/27,800,3030
2007/06/28,810,3000
2007/06/29,800,3030
2007/07/02,785,3000
2007/07/03,800,3020
2007/07/04,810,3020
2007/07/05,800,3000
2007/07/06,824,2980
2007/07/09,819,2980
2007/07/10,825,2995
2007/07/11,820,2950
2007/07/12,825,2950
2007/07/13,835,2925
2007/07/16,830,2920
2007/07/17,830,2874
2007/07/18,828,2799
2007/07/19,830,2800
2007/07/20,839,2820
2007/07/23,845,2820
2007/07/24,855,2800
2007/07/25,851,2750
2007/07/26,847,2675
2007/07/27,840,2700
2007/07/30,835,2650
2007/07/31,860,2700
2007/08/01,849,2675
2007/08/02,851,2750
2007/08/03,856,2700
2007/08/06,830,2610
2007/08/07,830,2630
2007/08/08,840,2651
2007/08/10,835,2580
2007/08/13,840,2590
2007/08/14,850,2570
2007/08/15,849,2490
2007/08/16,810,2400
2007/08/17,823,2400
2007/08/20,815,2390
2007/08/21,827,2380
2007/08/22,824,2380
2007/08/23,833,2440
2007/08/24,830,2411
2007/08/27,827,2455
2007/08/28,824,2475
2007/08/29,835,2570
2007/08/30,829,2625
2007/08/31,848,2650
2007/09/03,850,2560
2007/09/04,850,2538
2007/09/05,853,2490
2007/09/06,856,2491
2007/09/07,855,2530
2007/09/10,865,2600
2007/09/11,871,2589
2007/09/12,871,2530
2007/09/13,873,2475
2007/09/14,864,2515
2007/09/17,875,2520
2007/09/18,875,2550
2007/09/19,899,2550
2007/09/20,885,2580
2007/09/21,885,2525
2007/09/25,870,2510
2007/09/26,860,2525
2007/09/27,865,2550
2007/09/28,867,2575
2007/10/01,870,2575
2007/10/02,881,2650
2007/10/03,910,2750
2007/10/04,920,2700
2007/10/05,920,2720
2007/10/08,911,2800
2007/10/09,920,2775
2007/10/10,925,2850
2007/10/11,930,2830
2007/10/12,930,2800
2007/10/15,910,2830
2007/10/16,920,2830
2007/10/17,920,2848
2007/10/18,915,2860
2007/10/19,900,2860
2007/10/22,890,2749
2007/10/23,899,2820
2007/10/24,930,2840
2007/10/25,940,2840
2007/10/26,942,2950
2007/10/29,935,2875
2007/10/30,935,2875
2007/10/31,950,2860
2007/11/01,950,2850
2007/11/02,960,2831
2007/11/05,950,2900
2007/11/06,950,2900
2007/11/07,975,2900
2007/11/08,970,2895
2007/11/09,980,2900
2007/11/12,970,2900
2007/11/13,970,2900
2007/11/14,970,2900
2007/11/15,978,2900
2007/11/16,980,2890
2007/11/19,990,2900
2007/11/20,1000,2880
2007/11/21,990,2860
2007/11/22,965,2820
2007/11/23,950,2800
2007/11/26,945,2790
2007/11/27,930,2770
2007/11/28,950,2770
2007/11/29,950,2771
2007/11/30,945,2771
2007/12/03,950,2685
2007/12/04,940,2625
2007/12/05,940,2700
2007/12/06,935,2700
2007/12/07,945,2700
2007/12/10,895,2710
2007/12/11,895,2700
2007/12/12,880,2700
2007/12/13,851,2625
2007/12/14,850,2575
2007/12/18,780,2595
2007/12/19,790,2565
2007/12/20,770,2565
2007/12/21,800,2515
2007/12/24,822,2515
2007/12/27,820,2600
2007/12/28,840,2600
2007/12/31,815,2600
2008/01/02,850,2620
2008/01/03,817,2620
2008/01/04,830,2600
2008/01/07,826,2600
2008/01/08,820,2600
2008/01/09,830,2585
2008/01/10,820,2538
2008/01/11,802,2400
2008/01/14,770,2400
2008/01/15,750,2450
2008/01/16,710,2450
2008/01/17,715,2400
2008/01/18,700,2325
2008/01/21,661,2192
2008/01/22,661,2299
2008/01/23,650,2200
2008/01/24,670,2200
2008/01/25,680,2230
2008/01/28,650,2100
2008/01/29,673,2090
2008/01/30,640,2025
2008/01/31,599,1940
2008/02/01,591,2075
2008/02/04,585,2100
2008/02/05,620,2139
2008/02/06,605,2121
2008/02/07,600,2120
2008/02/08,575,2129
2008/02/11,566,2100
2008/02/12,585,2070
2008/02/13,610,2030
2008/02/14,606,2070
2008/02/15,610,2080
2008/02/18,611,2054
2008/02/19,645,2000
2008/02/20,630,1950
2008/02/21,619,1951
2008/02/22,620,1950
2008/02/25,619,1950
2008/02/26,657,2050
2008/02/27,710,2170
2008/02/28,690,2150
2008/02/29,675,2150
2008/03/03,661,2170
2008/03/04,650,2160
2008/03/05,639,2135
2008/03/06,620,2141
2008/03/07,620,2099
2008/03/10,630,2078
2008/03/11,651,2090
2008/03/12,675,2090
2008/03/13,651,2180
2008/03/14,670,2180
2008/03/17,649,2100
2008/03/18,655,2200
2008/03/19,655,2225
2008/03/20,615,2150
2008/03/25,615,2150
2008/03/26,630,2150
2008/03/27,630,2100
2008/03/28,635,2150
2008/03/31,625,2125
2008/04/01,635,2090
2008/04/02,646,2125
2008/04/03,645,2125
2008/04/04,645,2080
2008/04/07,635,2080
2008/04/08,635,2125
2008/04/09,640,2130
2008/04/10,650,2110
2008/04/11,650,2120
2008/04/14,650,2100
2008/04/15,660,2145
2008/04/16,650,2150
2008/04/17,650,2101
2008/04/18,650,2150
2008/04/21,650,2150
2008/04/22,640,2100
2008/04/23,630,2100
2008/04/24,620,2080
2008/04/25,620,2090
2008/04/29,621,2025
2008/04/30,660,2000
2008/05/05,650,2100
2008/05/06,620,2080
2008/05/07,620,2078
2008/05/08,620,2050
2008/05/09,590,2090
2008/05/12,600,2090
2008/05/13,600,2100
2008/05/14,600,2100
2008/05/15,595,2153
2008/05/16,590,2150
2008/05/19,590,2150
2008/05/20,580,2150
2008/05/21,570,2100
2008/05/22,580,2150
2008/05/23,560,2150
2008/05/26,560,2100
2008/05/27,560,2115
2008/05/28,560,2101
2008/05/29,561,2130
2008/05/30,560,2150
2008/06/02,551,2150
2008/06/03,540,2140
2008/06/04,520,2090
2008/06/05,540,2075
2008/06/06,535,2075
2008/06/09,510,2049
2008/06/10,500,2075
2008/06/11,500,2150
2008/06/12,500,2120
2008/06/13,490,2100
2008/06/17,480,2140
2008/06/18,480,2140
2008/06/19,490,2100
2008/06/20,485,2105
2008/06/23,481,2100
2008/06/24,470,2117
2008/06/25,460,2100
2008/06/26,460,2080
2008/06/27,460,2010
2008/06/30,455,2010
2008/07/01,450,1960
2008/07/02,450,1950
2008/07/03,445,1890
2008/07/04,451,1850
2008/07/07,442,1800
2008/07/08,440,1720
2008/07/09,440,1690
2008/07/10,450,1641
2008/07/11,444,1605
2008/07/14,460,1625
2008/07/15,464,1625
2008/07/16,480,1625
2008/07/17,500,1700
2008/07/18,490,1702
2008/07/21,490,1750
2008/07/22,495,1799
2008/07/23,490,1800
2008/07/24,490,1850
2008/07/25,475,1850
2008/07/28,477,1830
2008/07/29,480,1800
2008/07/30,488,1810
2008/07/31,500,1850
2008/08/01,481,2000
2008/08/04,490,1920
2008/08/05,510,1900
2008/08/06,515,1900
2008/08/07,510,1895
2008/08/08,470,1892
2008/08/11,495,1910
2008/08/12,520,1925
2008/08/13,520,1925
2008/08/14,501,1902
2008/08/15,500,1900
2008/08/18,495,1900
2008/08/19,500,1881
2008/08/20,480,1850
2008/08/21,495,1800
2008/08/22,490,1800
2008/08/25,510,1840
2008/08/26,480,1766
2008/08/27,480,1750
2008/08/28,500,1750
2008/08/29,520,1710
2008/09/01,500,1760
2008/09/02,505,1730
2008/09/03,500,1715
2008/09/04,520,1700
2008/09/05,525,1710
2008/09/08,515,1730
2008/09/09,515,1730
2008/09/10,515,1710
2008/09/11,521,1710
2008/09/12,520,1728
2008/09/15,530,1700
2008/09/16,520,1675
2008/09/17,521,1700
2008/09/18,520,1650
2008/09/19,547,1662
2008/09/22,557,1670
2008/09/23,561,1670
2008/09/25,560,1700
2008/09/26,560,1785
2008/09/29,561,1800
2008/09/30,575,1790
2008/10/01,561,1670
2008/10/02,569,1677
2008/10/03,565,1675
2008/10/06,550,1660
2008/10/07,535,1660
2008/10/08,520,1626
2008/10/09,520,1680
2008/10/10,485,1600
2008/10/13,490,1570
2008/10/14,488,1550
2008/10/15,480,1520
2008/10/16,500,1467
2008/10/17,480,1454
2008/10/20,500,1455
2008/10/21,500,1456
2008/10/22,505,1510
2008/10/23,490,1460
2008/10/24,480,1450
2008/10/27,460,1500
2008/10/28,494,1500
2008/10/29,525,1535
2008/10/30,525,1545
2008/10/31,500,1540
2008/11/03,500,1530
2008/11/04,500,1530
2008/11/05,499,1550
2008/11/06,500,1530
2008/11/07,500,1530
2008/11/10,490,1539
2008/11/11,480,1500
2008/11/12,479,1485
2008/11/13,460,1450
2008/11/14,470,1450
2008/11/17,475,1400
2008/11/18,455,1390
2008/11/19,451,1350
2008/11/20,445,1320
2008/11/21,425,1306
2008/11/24,450,1300
2008/11/25,463,1321
2008/11/26,455,1330
2008/11/27,455,1320
2008/11/28,500,1320
2008/12/01,520,1300
2008/12/02,465,1299
2008/12/03,450,1285
2008/12/04,430,1250
2008/12/05,435,1230
2008/12/08,410,1181
2008/12/09,420,1190
2008/12/10,449,1200
2008/12/11,450,1200
2008/12/12,450,1200
2008/12/15,455,1190
2008/12/17,465,1150
2008/12/18,460,1186
2008/12/19,465,1190
2008/12/22,475,1190
2008/12/23,465,1150
2008/12/24,465,1150
2008/12/29,463,1200
2008/12/30,462,1205
2008/12/31,462,1205
2009/01/02,465,1250
2009/01/05,465,1200
2009/01/06,470,1280
2009/01/07,500,1285
2009/01/08,500,1236
2009/01/09,500,1224
2009/01/12,500,1210
2009/01/13,500,1200
2009/01/14,480,1200
2009/01/15,470,1210
2009/01/16,450,1250
2009/01/19,450,1285
2009/01/20,450,1285
2009/01/21,425,1285
2009/01/22,430,1285
