Date,Discovery,Sanlam
2005/05/13,2150,1173
2005/05/16,2100,1174
2005/05/17,2125,1160
2005/05/18,2150,1180
2005/05/19,2140,1183
2005/05/20,2200,1164
2005/05/23,2200,1167
2005/05/24,2235,1156
2005/05/25,2222,1155
2005/05/26,2230,1147
2005/05/27,2230,1139
2005/05/30,2220,1139
2005/05/31,2200,1120
2005/06/01,2200,1080
2005/06/02,2200,1102
2005/06/03,2165,1122
2005/06/06,2250,1139
2005/06/07,2275,1140
2005/06/08,2380,1110
2005/06/09,2525,1103
2005/06/10,2500,1105
2005/06/13,2460,1130
2005/06/14,2450,1153
2005/06/15,2450,1155
2005/06/17,2439,1144
2005/06/20,2450,1160
2005/06/21,2490,1175
2005/06/22,2480,1172
2005/06/23,2490,1194
2005/06/24,2300,1170
2005/06/27,2239,1155
2005/06/28,2200,1157
2005/06/29,2199,1170
2005/06/30,2200,1174
2005/07/01,2200,1198
2005/07/04,2200,1162
2005/07/05,2180,1175
2005/07/06,2174,1175
2005/07/07,2167,1150
2005/07/08,2168,1152
2005/07/11,2140,1160
2005/07/12,2150,1185
2005/07/13,2180,1191
2005/07/14,2180,1208
2005/07/15,2150,1200
2005/07/18,2120,1195
2005/07/19,2075,1183
2005/07/20,2110,1190
2005/07/21,2120,1192
2005/07/22,2110,1181
2005/07/25,2080,1192
2005/07/26,2110,1190
2005/07/27,2150,1210
2005/07/28,2160,1254
2005/07/29,2121,1235
2005/08/01,2080,1265
2005/08/02,2120,1236
2005/08/03,2100,1259
2005/08/04,2100,1295
2005/08/05,2065,1270
2005/08/08,2060,1267
2005/08/10,2179,1309
2005/08/11,2150,1322
2005/08/12,2150,1316
2005/08/15,2144,1331
2005/08/16,2095,1335
2005/08/17,2115,1327
2005/08/18,2119,1327
2005/08/19,2150,1331
2005/08/22,2215,1325
2005/08/23,2200,1335
2005/08/24,2200,1315
2005/08/25,2240,1311
2005/08/26,2245,1305
2005/08/29,2210,1306
2005/08/30,2200,1323
2005/08/31,2200,1327
2005/09/01,2200,1325
2005/09/02,2200,1340
2005/09/05,2220,1330
2005/09/06,2240,1345
2005/09/07,2245,1360
2005/09/08,2291,1347
2005/09/09,2260,1350
2005/09/12,2250,1353
2005/09/13,2150,1361
2005/09/14,2139,1345
2005/09/15,2155,1320
2005/09/16,2170,1285
2005/09/19,2220,1281
2005/09/20,2247,1299
2005/09/21,2247,1310
2005/09/22,2195,1267
2005/09/23,2145,1265
2005/09/26,2165,1280
2005/09/27,2190,1271
2005/09/28,2160,1267
2005/09/29,2115,1270
2005/09/30,2080,1280
2005/10/03,2060,1263
2005/10/04,2106,1255
2005/10/05,2140,1260
2005/10/06,2100,1240
2005/10/07,2080,1245
2005/10/10,2060,1220
2005/10/11,2118,1230
2005/10/12,2140,1244
2005/10/13,2100,1210
2005/10/14,2056,1210
2005/10/17,2050,1210
2005/10/18,1977,1210
2005/10/19,1990,1165
2005/10/20,2048,1222
2005/10/21,2055,1205
2005/10/24,2130,1230
2005/10/25,2155,1265
2005/10/26,2250,1245
2005/10/27,2200,1210
2005/10/28,2150,1200
2005/10/31,2195,1235
2005/11/01,2160,1260
2005/11/02,2160,1246
2005/11/03,2150,1270
2005/11/04,2130,1247
2005/11/07,2140,1270
2005/11/08,2160,1250
2005/11/09,2150,1251
2005/11/10,2140,1248
2005/11/11,2120,1260
2005/11/14,2110,1315
2005/11/15,2145,1295
2005/11/16,2140,1310
2005/11/17,2150,1330
2005/11/18,2200,1345
2005/11/21,2195,1338
2005/11/22,2199,1311
2005/11/23,2175,1330
2005/11/24,2156,1350
2005/11/25,2150,1340
2005/11/28,2150,1348
2005/11/29,2150,1340
2005/11/30,2150,1321
2005/12/01,2199,1325
2005/12/02,2170,1325
2005/12/05,2150,1336
2005/12/06,2175,1376
2005/12/07,2201,1428
2005/12/08,2230,1402
2005/12/09,2220,1400
2005/12/12,2244,1395
2005/12/13,2256,1385
2005/12/14,2205,1399
2005/12/15,2220,1440
2005/12/19,2250,1491
2005/12/20,2260,1490
2005/12/21,2281,1495
2005/12/22,2306,1500
2005/12/23,2325,1504
2005/12/27,2340,1540
2005/12/28,2350,1525
2005/12/29,2340,1525
2005/12/30,2340,1519
2006/01/03,2300,1510
2006/01/04,2285,1510
2006/01/05,2300,1475
2006/01/06,2341,1515
2006/01/09,2350,1540
2006/01/10,2345,1550
2006/01/11,2465,1560
2006/01/12,2480,1560
2006/01/13,2490,1568
2006/01/16,2490,1530
2006/01/17,2450,1520
2006/01/18,2400,1559
2006/01/19,2400,1620
2006/01/20,2400,1620
2006/01/23,2375,1595
2006/01/24,2400,1609
2006/01/25,2500,1620
2006/01/26,2558,1627
2006/01/27,2500,1630
2006/01/30,2500,1600
2006/01/31,2488,1610
2006/02/01,2562,1655
2006/02/02,2600,1630
2006/02/03,2551,1600
2006/02/06,2575,1629
2006/02/07,2573,1630
2006/02/08,2595,1590
2006/02/09,2600,1690
2006/02/10,2641,1645
2006/02/13,2615,1580
2006/02/14,2550,1551
2006/02/15,2530,1608
2006/02/16,2500,1640
2006/02/17,2485,1715
2006/02/20,2450,1690
2006/02/21,2500,1678
2006/02/22,2530,1700
2006/02/23,2600,1695
2006/02/24,2500,1650
2006/02/27,2495,1667
2006/02/28,2460,1605
2006/03/02,2490,1620
2006/03/03,2470,1570
2006/03/06,2470,1555
2006/03/07,2440,1415
2006/03/08,2440,1490
2006/03/09,2425,1560
2006/03/10,2400,1600
2006/03/13,2409,1620
2006/03/14,2360,1650
2006/03/15,2379,1680
2006/03/16,2350,1640
2006/03/17,2370,1660
2006/03/20,2334,1689
2006/03/22,2345,1690
2006/03/23,2340,1710
2006/03/24,2346,1728
2006/03/27,2360,1750
2006/03/28,2361,1680
2006/03/29,2446,1670
2006/03/30,2480,1695
2006/03/31,2451,1650
2006/04/03,2456,1660
2006/04/04,2400,1660
2006/04/05,2360,1631
2006/04/06,2370,1591
2006/04/07,2420,1625
2006/04/10,2440,1629
2006/04/11,2425,1639
2006/04/12,2400,1626
2006/04/13,2405,1605
2006/04/18,2405,1641
2006/04/19,2416,1648
2006/04/20,2380,1635
2006/04/21,2380,1578
2006/04/24,2380,1570
2006/04/25,2370,1560
2006/04/26,2371,1555
2006/04/28,2445,1553
2006/05/02,2440,1560
2006/05/03,2425,1570
2006/05/04,2400,1560
2006/05/05,2374,1561
2006/05/08,2400,1572
2006/05/09,2400,1610
2006/05/10,2410,1618
2006/05/11,2410,1620
2006/05/12,2400,1590
2006/05/15,2300,1575
2006/05/16,2275,1560
2006/05/17,2340,1555
2006/05/18,2265,1535
2006/05/19,2250,1550
2006/05/22,2202,1540
2006/05/23,2250,1570
2006/05/24,2245,1550
2006/05/25,2223,1551
2006/05/26,2200,1610
2006/05/29,2200,1625
2006/05/30,2180,1570
2006/05/31,2165,1531
2006/06/01,2140,1536
2006/06/02,2132,1581
2006/06/05,2098,1547
2006/06/06,2070,1480
2006/06/07,2025,1470
2006/06/08,1930,1400
2006/06/09,1949,1467
2006/06/12,1950,1450
2006/06/13,1890,1390
2006/06/14,1900,1450
2006/06/15,1950,1480
2006/06/19,2036,1467
2006/06/20,2076,1486
2006/06/21,2080,1541
2006/06/22,2050,1481
2006/06/23,2000,1450
2006/06/26,1945,1380
2006/06/27,1905,1405
2006/06/28,1940,1420
2006/06/29,2000,1430
2006/06/30,2010,1450
2006/07/03,2070,1439
2006/07/04,2100,1449
2006/07/05,2100,1410
2006/07/06,2100,1449
2006/07/07,2100,1469
2006/07/10,2100,1489
2006/07/11,2120,1499
2006/07/12,2150,1538
2006/07/13,2140,1470
2006/07/14,2125,1440
2006/07/17,2100,1425
2006/07/18,2081,1430
2006/07/19,2099,1474
2006/07/20,2149,1440
2006/07/21,2196,1430
2006/07/24,2200,1480
2006/07/25,2228,1512
2006/07/26,2265,1515
2006/07/27,2300,1564
2006/07/28,2300,1510
2006/07/31,2250,1536
2006/08/01,2200,1510
2006/08/02,2180,1513
2006/08/03,2180,1506
2006/08/04,2159,1540
2006/08/07,2120,1528
2006/08/08,2114,1495
2006/08/10,2116,1473
2006/08/11,2135,1501
2006/08/14,2160,1482
2006/08/15,2140,1490
2006/08/16,2200,1500
2006/08/17,2220,1549
2006/08/18,2200,1495
2006/08/21,2152,1520
2006/08/22,2150,1530
2006/08/23,2150,1501
2006/08/24,2140,1502
2006/08/25,2145,1486
