Date,Discovery,Liberty
2005/05/04,2060,5111
2005/05/05,2150,5130
2005/05/06,2165,5130
2005/05/09,2216,5225
2005/05/10,2220,5317
2005/05/11,2210,5304
2005/05/12,2180,5257
2005/05/13,2150,5130
2005/05/16,2100,5114
2005/05/17,2125,5225
2005/05/18,2150,5162
2005/05/19,2140,5288
2005/05/20,2200,5209
2005/05/23,2200,5352
2005/05/24,2235,5225
2005/05/25,2222,5209
2005/05/26,2230,5225
2005/05/27,2230,5217
2005/05/30,2220,5164
2005/05/31,2200,5161
2005/06/01,2200,5019
2005/06/02,2200,5003
2005/06/03,2165,5003
2005/06/06,2250,4924
2005/06/07,2275,4924
2005/06/08,2380,4908
2005/06/09,2525,4845
2005/06/10,2500,4813
2005/06/13,2460,4813
2005/06/14,2450,4823
2005/06/15,2450,4782
2005/06/17,2439,4750
2005/06/20,2450,4782
2005/06/21,2490,4750
2005/06/22,2480,4893
2005/06/23,2490,4940
2005/06/24,2300,4845
2005/06/27,2239,4782
2005/06/28,2200,4798
2005/06/29,2199,4814
2005/06/30,2200,4875
2005/07/01,2200,4875
2005/07/04,2200,4813
2005/07/05,2180,4782
2005/07/06,2174,4782
2005/07/07,2167,4782
2005/07/08,2168,4782
2005/07/11,2140,4861
2005/07/12,2150,4908
2005/07/13,2180,4893
2005/07/14,2180,4861
2005/07/15,2150,4845
2005/07/18,2120,4839
2005/07/19,2075,4877
2005/07/20,2110,4940
2005/07/21,2120,5035
2005/07/22,2110,5035
2005/07/25,2080,5035
2005/07/26,2110,5034
2005/07/27,2150,4972
2005/07/28,2160,4956
2005/07/29,2121,5003
2005/08/01,2080,5162
2005/08/02,2120,5162
2005/08/03,2100,5162
2005/08/04,2100,5257
2005/08/05,2065,5178
2005/08/08,2060,5178
2005/08/10,2179,5380
2005/08/11,2150,5288
2005/08/12,2150,5257
2005/08/15,2144,5257
2005/08/16,2095,5257
2005/08/17,2115,5073
2005/08/18,2119,5083
2005/08/19,2150,5098
2005/08/22,2215,5102
2005/08/23,2200,5116
2005/08/24,2200,5114
2005/08/25,2240,5114
2005/08/26,2245,5193
2005/08/29,2210,5162
2005/08/30,2200,5159
2005/08/31,2200,5130
2005/09/01,2200,5124
2005/09/02,2200,5178
2005/09/05,2220,5035
2005/09/06,2240,5225
2005/09/07,2245,5336
2005/09/08,2291,5320
2005/09/09,2260,5336
2005/09/12,2250,5350
2005/09/13,2150,5322
2005/09/14,2139,5320
2005/09/15,2155,5320
2005/09/16,2170,5383
2005/09/19,2220,5288
2005/09/20,2247,5320
2005/09/21,2247,5288
2005/09/22,2195,5187
2005/09/23,2145,5223
2005/09/26,2165,5178
2005/09/27,2190,5193
2005/09/28,2160,5218
2005/09/29,2115,5114
2005/09/30,2080,5114
2005/10/03,2060,5067
2005/10/04,2106,5083
2005/10/05,2140,5083
2005/10/06,2100,5030
2005/10/07,2080,5019
2005/10/10,2060,5019
2005/10/11,2118,5035
2005/10/12,2140,5067
2005/10/13,2100,5059
2005/10/14,2056,5019
2005/10/17,2050,5098
2005/10/18,1977,5122
2005/10/19,1990,5067
2005/10/20,2048,5068
2005/10/21,2055,5098
2005/10/24,2130,5162
2005/10/25,2155,5225
2005/10/26,2250,5193
2005/10/27,2200,5193
2005/10/28,2150,5067
2005/10/31,2195,5067
2005/11/01,2160,5193
2005/11/02,2160,5257
2005/11/03,2150,5334
2005/11/04,2130,5317
2005/11/07,2140,5507
2005/11/08,2160,5352
2005/11/09,2150,5339
2005/11/10,2140,5415
2005/11/11,2120,5368
2005/11/14,2110,5415
2005/11/15,2145,5415
2005/11/16,2140,5415
2005/11/17,2150,5399
2005/11/18,2200,5415
2005/11/21,2195,5447
2005/11/22,2199,5470
2005/11/23,2175,5494
2005/11/24,2156,5558
2005/11/25,2150,5589
2005/11/28,2150,5573
2005/11/29,2150,5608
2005/11/30,2150,5700
2005/12/01,2199,5700
2005/12/02,2170,5798
2005/12/05,2150,5843
2005/12/06,2175,5827
2005/12/07,2201,5985
2005/12/08,2230,5890
2005/12/09,2220,5763
2005/12/12,2244,5715
2005/12/13,2256,5716
2005/12/14,2205,5668
2005/12/15,2220,5751
2005/12/19,2250,5858
2005/12/20,2260,5906
2005/12/21,2281,5858
2005/12/22,2306,5865
2005/12/23,2325,5865
2005/12/27,2340,5890
2005/12/28,2350,5890
2005/12/29,2340,5926
2005/12/30,2340,5985
2006/01/03,2300,6069
2006/01/04,2285,6080
2006/01/05,2300,5985
2006/01/06,2341,6048
2006/01/09,2350,6080
2006/01/10,2345,6143
2006/01/11,2465,6207
2006/01/12,2480,6365
2006/01/13,2490,6365
2006/01/16,2490,6397
2006/01/17,2450,6397
2006/01/18,2400,6365
2006/01/19,2400,6539
2006/01/20,2400,6492
2006/01/23,2375,6523
2006/01/24,2400,6523
2006/01/25,2500,6587
2006/01/26,2558,6523
2006/01/27,2500,6508
2006/01/30,2500,6555
2006/01/31,2488,6840
2006/02/01,2562,6789
2006/02/02,2600,6846
2006/02/03,2551,6840
2006/02/06,2575,6941
2006/02/07,2573,7125
2006/02/08,2595,7077
2006/02/09,2600,7220
2006/02/10,2641,7188
2006/02/13,2615,7125
2006/02/14,2550,6872
2006/02/15,2530,7090
2006/02/16,2500,7068
2006/02/17,2485,7157
2006/02/20,2450,7173
2006/02/21,2500,7062
2006/02/22,2530,7062
2006/02/23,2600,7062
2006/02/24,2500,6967
2006/02/27,2495,6935
2006/02/28,2460,6774
2006/03/02,2490,6919
2006/03/03,2470,6728
2006/03/06,2470,6729
2006/03/07,2440,6539
2006/03/08,2440,6539
2006/03/09,2425,6587
2006/03/10,2400,6713
2006/03/13,2409,6840
2006/03/14,2360,6872
2006/03/15,2379,6892
2006/03/16,2350,6935
2006/03/17,2370,6964
2006/03/20,2334,6951
2006/03/22,2345,6998
2006/03/23,2340,7030
2006/03/24,2346,6979
2006/03/27,2360,6983
2006/03/28,2361,6967
2006/03/29,2446,6998
2006/03/30,2480,6998
2006/03/31,2451,6998
2006/04/03,2456,6998
2006/04/04,2400,6903
2006/04/05,2360,6888
2006/04/06,2370,6808
2006/04/07,2420,6808
2006/04/10,2440,6650
2006/04/11,2425,6587
2006/04/12,2400,6556
2006/04/13,2405,6460
2006/04/18,2405,6397
2006/04/19,2416,6371
2006/04/20,2380,6365
2006/04/21,2380,6349
2006/04/24,2380,6323
2006/04/25,2370,6381
2006/04/26,2371,6555
2006/04/28,2445,6618
2006/05/02,2440,6650
2006/05/03,2425,6555
2006/05/04,2400,6618
2006/05/05,2374,6617
2006/05/08,2400,6618
2006/05/09,2400,6777
2006/05/10,2410,6777
2006/05/11,2410,6697
2006/05/12,2400,6618
2006/05/15,2300,6428
2006/05/16,2275,6428
2006/05/17,2340,6476
2006/05/18,2265,6492
2006/05/19,2250,6460
2006/05/22,2202,6207
2006/05/23,2250,6365
2006/05/24,2245,6302
2006/05/25,2223,6302
2006/05/26,2200,6428
2006/05/29,2200,6492
2006/05/30,2180,6437
2006/05/31,2165,6523
2006/06/01,2140,6303
2006/06/02,2132,6492
2006/06/05,2098,6444
2006/06/06,2070,6270
2006/06/07,2025,6177
2006/06/08,1930,5953
2006/06/09,1949,5763
2006/06/12,1950,5858
2006/06/13,1890,5526
2006/06/14,1900,5637
2006/06/15,1950,5700
2006/06/19,2036,5731
2006/06/20,2076,5953
2006/06/21,2080,5922
2006/06/22,2050,5860
2006/06/23,2000,5605
2006/06/26,1945,5478
2006/06/27,1905,5637
2006/06/28,1940,5668
2006/06/29,2000,5573
2006/06/30,2010,5637
2006/07/03,2070,5763
2006/07/04,2100,5763
2006/07/05,2100,5665
2006/07/06,2100,5827
2006/07/07,2100,5751
2006/07/10,2100,5858
2006/07/11,2120,5801
2006/07/12,2150,5811
2006/07/13,2140,5702
2006/07/14,2125,5637
2006/07/17,2100,5580
2006/07/18,2081,5637
2006/07/19,2099,5764
2006/07/20,2149,5859
2006/07/21,2196,5763
2006/07/24,2200,5763
2006/07/25,2228,5700
2006/07/26,2265,5858
2006/07/27,2300,6017
2006/07/28,2300,6048
2006/07/31,2250,5985
2006/08/01,2200,5763
2006/08/02,2180,5735
2006/08/03,2180,5684
2006/08/04,2159,5732
2006/08/07,2120,5732
2006/08/08,2114,5811
2006/08/10,2116,5643
2006/08/11,2135,5574
2006/08/14,2160,5573
2006/08/15,2140,5575
2006/08/16,2200,5580
2006/08/17,2220,5700
2006/08/18,2200,5700
2006/08/21,2152,5700
2006/08/22,2150,5732
2006/08/23,2150,5700
2006/08/24,2140,5700
2006/08/25,2145,5684
2006/08/28,2135,5748
2006/08/29,2120,5795
2006/08/30,2120,5732
2006/08/31,2240,5694
2006/09/01,2180,5732
2006/09/04,2203,5668
2006/09/05,2250,5700
2006/09/06,2300,5668
2006/09/07,2300,5605
2006/09/08,2270,5605
2006/09/11,2259,5605
2006/09/12,2265,5643
2006/09/13,2275,5645
2006/09/14,2275,5653
2006/09/15,2231,5630
2006/09/18,2300,5653
2006/09/19,2320,5699
2006/09/20,2275,5700
2006/09/21,2299,5700
2006/09/22,2300,5637
2006/09/26,2300,5922
2006/09/27,2300,5858
2006/09/28,2265,5843
2006/09/29,2230,5843
2006/10/02,2200,5660
2006/10/03,2230,5701
2006/10/04,2200,5700
2006/10/05,2206,5858
2006/10/06,2245,5862
2006/10/09,2246,5859
2006/10/10,2265,5868
2006/10/11,2285,5869
2006/10/12,2285,5869
2006/10/13,2315,5858
2006/10/16,2290,6017
2006/10/17,2290,6014
2006/10/18,2290,6083
2006/10/19,2315,6207
2006/10/20,2320,6080
2006/10/23,2325,5953
2006/10/24,2390,5985
2006/10/25,2360,5890
2006/10/26,2331,5795
2006/10/27,2350,5798
2006/10/30,2375,5795
2006/10/31,2380,5835
2006/11/01,2402,5922
2006/11/02,2400,6026
2006/11/03,2430,5953
2006/11/06,2450,5909
2006/11/07,2442,5874
2006/11/08,2450,5880
2006/11/09,2450,5874
2006/11/10,2440,5890
2006/11/13,2430,5953
2006/11/14,2420,6078
2006/11/15,2380,6001
2006/11/16,2350,6007
2006/11/17,2380,5971
2006/11/20,2380,5985
2006/11/21,2390,5985
2006/11/22,2421,6080
2006/11/23,2489,6207
2006/11/24,2475,6333
2006/11/27,2480,6413
2006/11/28,2480,6301
2006/11/29,2500,6311
2006/11/30,2499,6270
2006/12/01,2500,6270
2006/12/04,2500,6270
2006/12/05,2480,6223
2006/12/06,2495,6175
2006/12/07,2480,6151
2006/12/08,2483,6238
2006/12/11,2495,6207
2006/12/12,2485,6207
2006/12/13,2495,6175
2006/12/14,2530,6226
2006/12/15,2616,6175
2006/12/18,2630,6311
2006/12/19,2655,6254
2006/12/20,2720,6343
2006/12/21,2660,6476
2006/12/22,2685,6492
2006/12/27,2719,6666
2006/12/28,2690,6808
2006/12/29,2690,6650
2007/01/02,2739,6650
2007/01/03,2720,6618
2007/01/04,2730,6460
2007/01/05,2719,6428
2007/01/09,2770,6875
2007/01/10,2846,6808
2007/01/11,2855,6867
2007/01/12,2880,6888
2007/01/15,2965,6935
2007/01/16,3041,6935
2007/01/17,3075,6967
2007/01/18,3150,7062
2007/01/19,3051,6967
2007/01/22,3060,7030
2007/01/23,3010,7030
2007/01/24,3000,7051
2007/01/25,2975,7046
2007/01/26,2960,7046
2007/01/29,3000,7046
2007/01/30,2999,6986
2007/01/31,3000,6967
2007/02/01,2851,6976
2007/02/02,2950,6984
2007/02/05,2971,6899
2007/02/06,2930,6967
2007/02/07,2892,7046
2007/02/08,2830,6903
2007/02/09,2830,6967
2007/02/12,2830,7081
2007/02/13,2915,6967
2007/02/14,2975,6903
2007/02/15,2970,6903
2007/02/16,2945,6904
2007/02/19,2934,6919
2007/02/20,2901,6919
2007/02/21,2901,6808
2007/02/22,3019,6808
2007/02/23,3119,6777
2007/02/26,3099,6574
2007/02/27,2990,6642
2007/02/28,2939,6603
2007/03/01,2895,6428
2007/03/02,2940,6425
2007/03/05,2831,6397
2007/03/06,2897,6337
2007/03/07,2900,6333
2007/03/08,2890,6492
2007/03/09,2999,6555
2007/03/12,2979,6650
2007/03/13,2910,6397
2007/03/14,2860,6428
2007/03/15,2901,6508
2007/03/16,2903,6555
2007/03/19,2905,6618
2007/03/20,2920,6745
2007/03/22,2919,6682
2007/03/23,2900,6967
2007/03/26,2900,6444
2007/03/27,2870,6492
2007/03/28,2856,6492
2007/03/29,2865,6460
2007/03/30,2880,6523
2007/04/02,2900,6539
2007/04/03,2980,6539
2007/04/04,2995,6571
2007/04/05,2980,6492
2007/04/10,3094,6555
2007/04/11,3007,6587
2007/04/12,3011,6679
2007/04/13,3020,6872
2007/04/16,3090,6983
2007/04/17,3090,6967
2007/04/18,3110,6998
2007/04/19,3200,6998
2007/04/20,3259,6998
2007/04/23,3230,7109
2007/04/24,3200,7125
2007/04/25,3200,7423
2007/04/26,3210,7284
2007/04/30,3270,7409
2007/05/02,3290,7355
2007/05/03,3315,7220
2007/05/04,3212,7217
2007/05/07,3225,7188
2007/05/08,3210,7154
2007/05/09,3210,7188
2007/05/10,3250,7188
2007/05/11,3220,7124
2007/05/14,3205,7188
2007/05/15,3220,7125
2007/05/16,3210,7220
2007/05/17,3210,7252
2007/05/18,3220,7287
2007/05/21,3220,7363
2007/05/22,3220,7410
2007/05/23,3200,7523
2007/05/24,3220,7473
2007/05/25,3199,7410
2007/05/28,3195,7410
2007/05/29,3190,7505
2007/05/30,3153,7283
2007/05/31,3145,7283
2007/06/01,3150,7220
2007/06/04,3110,7230
2007/06/05,3130,7188
2007/06/06,3156,7008
2007/06/07,3195,7027
2007/06/08,3165,6903
2007/06/11,3150,6935
2007/06/12,3138,6840
2007/06/13,3100,7046
2007/06/14,3115,7157
2007/06/15,3100,7154
2007/06/18,3088,7169
2007/06/19,3060,7138
2007/06/20,3079,7093
2007/06/21,3080,7125
2007/06/22,3079,7157
2007/06/25,2998,7109
2007/06/26,2990,7062
2007/06/27,2930,6936
2007/06/28,2933,6967
2007/06/29,2903,6998
2007/07/02,2900,6967
2007/07/03,2899,6967
2007/07/04,2889,6916
2007/07/05,2870,6840
2007/07/06,2895,6777
2007/07/09,2940,6966
2007/07/10,2970,6872
2007/07/11,2970,6919
2007/07/12,3047,6967
2007/07/13,3012,7093
2007/07/16,3035,7125
2007/07/17,3010,7094
2007/07/18,2995,6998
2007/07/19,2975,7116
2007/07/20,2973,7125
2007/07/23,2960,7116
2007/07/24,2940,7094
2007/07/25,2919,7097
2007/07/26,2820,7173
2007/07/27,2801,6967
2007/07/30,2825,7093
2007/07/31,2849,7164
2007/08/01,2760,6872
2007/08/02,2750,6872
2007/08/03,2710,6650
2007/08/06,2680,6574
2007/08/07,2650,6698
2007/08/08,2700,7155
2007/08/10,2695,6872
2007/08/13,2700,6903
2007/08/14,2650,6808
2007/08/15,2647,6650
2007/08/16,2600,6555
2007/08/17,2590,6650
2007/08/20,2550,6682
2007/08/21,2499,6682
2007/08/22,2500,6808
2007/08/23,2550,6777
2007/08/24,2554,6713
2007/08/27,2625,6840
2007/08/28,2640,6688
2007/08/29,2680,6808
2007/08/30,2630,6809
2007/08/31,2700,7061
2007/09/03,2700,7125
2007/09/04,2690,7111
2007/09/05,2660,6967
2007/09/06,2595,6903
2007/09/07,2650,6809
2007/09/10,2640,6808
2007/09/11,2665,6745
2007/09/12,2680,6808
2007/09/13,2625,6958
2007/09/14,2624,6824
2007/09/17,2625,6967
2007/09/18,2650,6872
2007/09/19,2650,6998
2007/09/20,2629,6986
2007/09/21,2585,6998
2007/09/25,2530,7078
2007/09/26,2570,7062
2007/09/27,2602,7030
2007/09/28,2640,7015
2007/10/01,2650,7019
2007/10/02,2640,7103
2007/10/03,2745,7188
2007/10/04,2701,7188
2007/10/05,2695,7283
2007/10/08,2720,7317
2007/10/09,2720,7332
2007/10/10,2789,7339
2007/10/11,2767,7410
2007/10/12,2788,7307
2007/10/15,2750,7442
2007/10/16,2727,7347
2007/10/17,2700,7378
2007/10/18,2700,7410
2007/10/19,2665,7442
2007/10/22,2645,7378
2007/10/23,2700,7347
2007/10/24,2730,7394
2007/10/25,2725,7363
2007/10/26,2785,7442
2007/10/29,2870,7599
2007/10/30,2834,7473
2007/10/31,2805,7600
2007/11/01,2810,7442
2007/11/02,2860,7471
2007/11/05,2860,7568
2007/11/06,2900,7473
2007/11/07,2875,7458
2007/11/08,2805,7426
2007/11/09,2800,7432
2007/11/12,2800,7347
2007/11/13,2795,7274
2007/11/14,2765,7277
2007/11/15,2788,7331
2007/11/16,2915,7323
2007/11/19,2781,7402
2007/11/20,2770,7378
2007/11/21,2840,7324
2007/11/22,2885,7489
2007/11/23,2930,7423
2007/11/26,2801,7234
2007/11/27,2750,7125
2007/11/28,2650,7125
2007/11/29,2750,7188
2007/11/30,2789,7242
2007/12/03,2685,7125
2007/12/04,2680,7125
2007/12/05,2700,7046
2007/12/06,2731,7030
2007/12/07,2676,7188
2007/12/10,2690,7085
2007/12/11,2700,7092
2007/12/12,2750,7277
2007/12/13,2749,7112
2007/12/14,2651,6913
2007/12/18,2615,6767
2007/12/19,2670,6702
2007/12/20,2640,6650
2007/12/21,2715,6808
2007/12/24,2725,6919
