Date,Discovery,MMI
2005/05/20,2200,1025
2005/05/23,2200,1025
2005/05/24,2235,1010
2005/05/25,2222,1040
2005/05/26,2230,1040
2005/05/27,2230,1025
2005/05/30,2220,1009
2005/05/31,2200,950
2005/06/01,2200,960
2005/06/02,2200,1005
2005/06/03,2165,1014
2005/06/06,2250,998
2005/06/07,2275,1010
2005/06/08,2380,1006
2005/06/09,2525,980
2005/06/10,2500,1000
2005/06/13,2460,995
2005/06/14,2450,1000
2005/06/15,2450,1010
2005/06/17,2439,1010
2005/06/20,2450,1000
2005/06/21,2490,1008
2005/06/22,2480,1008
2005/06/23,2490,1025
2005/06/24,2300,1030
2005/06/27,2239,1015
2005/06/28,2200,1030
2005/06/29,2199,1007
2005/06/30,2200,1012
2005/07/01,2200,1040
2005/07/04,2200,1026
2005/07/05,2180,1030
2005/07/06,2174,1012
2005/07/07,2167,1000
2005/07/08,2168,1005
2005/07/11,2140,1020
2005/07/12,2150,1060
2005/07/13,2180,1060
2005/07/14,2180,1070
2005/07/15,2150,1070
2005/07/18,2120,1050
2005/07/19,2075,1065
2005/07/20,2110,1070
2005/07/21,2120,1100
2005/07/22,2110,1090
2005/07/25,2080,1090
2005/07/26,2110,1081
2005/07/27,2150,1081
2005/07/28,2160,1106
2005/07/29,2121,1140
2005/08/01,2080,1140
2005/08/02,2120,1154
2005/08/03,2100,1165
2005/08/04,2100,1175
2005/08/05,2065,1170
2005/08/08,2060,1170
2005/08/10,2179,1175
2005/08/11,2150,1140
2005/08/12,2150,1130
2005/08/15,2144,1140
2005/08/16,2095,1140
2005/08/17,2115,1110
2005/08/18,2119,1110
2005/08/19,2150,1120
2005/08/22,2215,1127
2005/08/23,2200,1148
2005/08/24,2200,1175
2005/08/25,2240,1165
2005/08/26,2245,1150
2005/08/29,2210,1130
2005/08/30,2200,1140
2005/08/31,2200,1165
2005/09/01,2200,1175
2005/09/02,2200,1200
2005/09/05,2220,1180
2005/09/06,2240,1155
2005/09/07,2245,1163
2005/09/08,2291,1169
2005/09/09,2260,1155
2005/09/12,2250,1160
2005/09/13,2150,1165
2005/09/14,2139,1145
2005/09/15,2155,1130
2005/09/16,2170,1101
2005/09/19,2220,1135
2005/09/20,2247,1135
2005/09/21,2247,1140
2005/09/22,2195,1135
2005/09/23,2145,1130
2005/09/26,2165,1115
2005/09/27,2190,1110
2005/09/28,2160,1110
2005/09/29,2115,1100
2005/09/30,2080,1112
2005/10/03,2060,1080
2005/10/04,2106,1085
2005/10/05,2140,1099
2005/10/06,2100,1080
2005/10/07,2080,1085
2005/10/10,2060,1070
2005/10/11,2118,1060
2005/10/12,2140,1041
2005/10/13,2100,1030
2005/10/14,2056,1000
2005/10/17,2050,1025
2005/10/18,1977,1020
2005/10/19,1990,1015
2005/10/20,2048,1025
2005/10/21,2055,1020
2005/10/24,2130,1060
2005/10/25,2155,1055
2005/10/26,2250,1045
2005/10/27,2200,1045
2005/10/28,2150,1045
2005/10/31,2195,1025
2005/11/01,2160,1050
2005/11/02,2160,1075
2005/11/03,2150,1085
2005/11/04,2130,1070
2005/11/07,2140,1085
2005/11/08,2160,1100
2005/11/09,2150,1105
2005/11/10,2140,1095
2005/11/11,2120,1100
2005/11/14,2110,1100
2005/11/15,2145,1090
2005/11/16,2140,1093
2005/11/17,2150,1100
