Date,M&R,AVENGE
2005/05/17,1445,1170
2005/05/18,1430,1180
2005/05/19,1410,1190
2005/05/20,1400,1180
2005/05/23,1365,1150
2005/05/24,1370,1125
2005/05/25,1400,1125
2005/05/26,1403,1145
2005/05/27,1400,1160
2005/05/30,1370,1156
2005/05/31,1365,1152
2005/06/01,1370,1151
2005/06/02,1375,1150
2005/06/03,1380,1150
2005/06/06,1410,1175
2005/06/07,1416,1195
2005/06/08,1412,1216
2005/06/09,1415,1200
2005/06/10,1415,1205
2005/06/13,1420,1220
2005/06/14,1380,1225
2005/06/15,1400,1235
2005/06/17,1410,1235
2005/06/20,1390,1254
2005/06/21,1401,1250
2005/06/22,1410,1242
2005/06/23,1453,1229
2005/06/24,1420,1220
2005/06/27,1400,1225
2005/06/28,1400,1240
2005/06/29,1420,1245
2005/06/30,1400,1235
2005/07/01,1400,1245
2005/07/04,1433,1230
2005/07/05,1395,1225
2005/07/06,1395,1245
2005/07/07,1395,1240
2005/07/08,1395,1243
2005/07/11,1409,1264
2005/07/12,1400,1280
2005/07/13,1400,1280
2005/07/14,1400,1290
2005/07/15,1395,1310
2005/07/18,1448,1310
2005/07/19,1435,1330
2005/07/20,1437,1335
2005/07/21,1449,1360
2005/07/22,1451,1365
2005/07/25,1485,1350
2005/07/26,1475,1345
2005/07/27,1470,1335
2005/07/28,1486,1345
2005/07/29,1480,1330
2005/08/01,1510,1335
2005/08/02,1500,1320
2005/08/03,1471,1320
2005/08/04,1470,1280
2005/08/05,1471,1300
2005/08/08,1480,1325
2005/08/10,1500,1336
2005/08/11,1490,1315
2005/08/12,1487,1292
2005/08/15,1495,1291
2005/08/16,1495,1290
2005/08/17,1502,1290
2005/08/18,1500,1280
2005/08/19,1580,1294
2005/08/22,1623,1315
2005/08/23,1600,1320
2005/08/24,1599,1312
2005/08/25,1580,1310
2005/08/26,1570,1320
2005/08/29,1560,1310
2005/08/30,1590,1316
2005/08/31,1599,1295
2005/09/01,1630,1328
2005/09/02,1700,1330
2005/09/05,1725,1340
2005/09/06,1820,1397
2005/09/07,1785,1390
2005/09/08,1755,1365
2005/09/09,1770,1365
2005/09/12,1800,1444
2005/09/13,1835,1450
2005/09/14,1835,1490
2005/09/15,1865,1519
2005/09/16,1920,1565
2005/09/19,1920,1610
2005/09/20,1902,1580
2005/09/21,1890,1590
2005/09/22,1930,1600
2005/09/23,1920,1601
2005/09/26,1930,1615
2005/09/27,1930,1625
2005/09/28,1935,1630
2005/09/29,1960,1640
2005/09/30,1965,1675
2005/10/03,1939,1655
2005/10/04,1930,1695
2005/10/05,1920,1695
2005/10/06,1900,1660
2005/10/07,1870,1640
2005/10/10,1870,1649
2005/10/11,1890,1660
2005/10/12,1960,1700
2005/10/13,1950,1660
2005/10/14,1880,1655
2005/10/17,1896,1658
2005/10/18,1875,1660
2005/10/19,1835,1638
2005/10/20,1850,1640
2005/10/21,1855,1645
2005/10/24,1900,1660
2005/10/25,1905,1702
2005/10/26,1928,1720
2005/10/27,1930,1705
2005/10/28,1930,1695
2005/10/31,1931,1685
2005/11/01,1935,1700
2005/11/02,1965,1720
2005/11/03,2000,1795
2005/11/04,2020,1770
2005/11/07,2060,1800
2005/11/08,2050,1840
2005/11/09,2020,1880
2005/11/10,2045,1910
2005/11/11,2020,1929
2005/11/14,1970,1905
2005/11/15,1900,1915
2005/11/16,1889,1915
2005/11/17,1880,1915
2005/11/18,1900,1920
2005/11/21,1935,1951
2005/11/22,1930,1900
2005/11/23,1940,1900
2005/11/24,1960,1915
2005/11/25,1910,1905
2005/11/28,1890,1865
2005/11/29,1900,1870
2005/11/30,1890,1841
2005/12/01,1875,1830
2005/12/02,1910,1825
2005/12/05,1920,1820
2005/12/06,1950,1825
2005/12/07,1930,1840
2005/12/08,1890,1840
2005/12/09,1870,1840
2005/12/12,1890,1880
2005/12/13,1885,1900
2005/12/14,1880,1885
2005/12/15,1925,1880
2005/12/19,1935,1860
2005/12/20,1950,1820
2005/12/21,1935,1834
2005/12/22,1930,1770
2005/12/23,1930,1780
2005/12/27,1935,1805
2005/12/28,1930,1805
2005/12/29,1940,1780
2005/12/30,1960,1799
2006/01/03,2020,1830
2006/01/04,2074,1835
2006/01/05,2050,1845
2006/01/06,2100,1870
2006/01/09,2134,1945
2006/01/10,2120,1980
2006/01/11,2115,1985
2006/01/12,2174,2075
2006/01/13,2085,2100
2006/01/16,2040,2030
2006/01/17,2010,1990
2006/01/18,1999,1950
2006/01/19,2000,1965
2006/01/20,1984,1970
2006/01/23,1970,1955
2006/01/24,1970,1975
2006/01/25,1980,2050
2006/01/26,2024,2040
2006/01/27,2036,2025
2006/01/30,2085,2035
2006/01/31,2110,2055
2006/02/01,2181,2101
2006/02/02,2200,2110
2006/02/03,2190,2100
2006/02/06,2200,2075
2006/02/07,2225,2110
2006/02/08,2200,2100
2006/02/09,2225,2130
2006/02/10,2190,2202
2006/02/13,2110,2200
2006/02/14,2137,2200
2006/02/15,2190,2200
2006/02/16,2160,2190
2006/02/17,2202,2250
2006/02/20,2215,2250
2006/02/21,2205,2270
2006/02/22,2225,2323
2006/02/23,2225,2305
2006/02/24,2235,2335
2006/02/27,2311,2405
2006/02/28,2281,2385
2006/03/02,2385,2480
2006/03/03,2401,2451
2006/03/06,2520,2455
2006/03/07,2465,2326
2006/03/08,2450,2321
2006/03/09,2480,2351
2006/03/10,2480,2340
2006/03/13,2600,2400
2006/03/14,2610,2420
2006/03/15,2601,2430
2006/03/16,2595,2391
2006/03/17,2580,2361
2006/03/20,2620,2430
2006/03/22,2776,2516
2006/03/23,2800,2517
2006/03/24,2805,2470
2006/03/27,2835,2460
2006/03/28,2850,2400
2006/03/29,2780,2375
2006/03/30,2785,2340
2006/03/31,2770,2350
2006/04/03,2764,2365
2006/04/04,2761,2375
2006/04/05,2775,2400
2006/04/06,2700,2372
2006/04/07,2640,2385
2006/04/10,2706,2411
2006/04/11,2784,2375
2006/04/12,2700,2340
2006/04/13,2685,2305
2006/04/18,2725,2331
2006/04/19,2715,2310
2006/04/20,2700,2309
2006/04/21,2640,2300
2006/04/24,2641,2272
2006/04/25,2655,2310
2006/04/26,2725,2375
2006/04/28,2720,2376
2006/05/02,2710,2310
2006/05/03,2710,2410
2006/05/04,2725,2430
2006/05/05,2670,2430
2006/05/08,2637,2360
2006/05/09,2711,2400
2006/05/10,2735,2430
2006/05/11,2745,2465
2006/05/12,2723,2480
2006/05/15,2635,2425
2006/05/16,2650,2400
2006/05/17,2650,2350
2006/05/18,2625,2305
2006/05/19,2549,2307
2006/05/22,2520,2210
2006/05/23,2519,2200
2006/05/24,2515,2142
2006/05/25,2540,2160
2006/05/26,2550,2200
2006/05/29,2512,2217
2006/05/30,2528,2238
2006/05/31,2451,2205
2006/06/01,2472,2200
2006/06/02,2500,2240
2006/06/05,2500,2250
2006/06/06,2425,2129
2006/06/07,2130,2100
2006/06/08,2215,2041
2006/06/09,2180,2079
2006/06/12,2255,2169
2006/06/13,2250,2149
2006/06/14,2350,2130
2006/06/15,2500,2185
2006/06/19,2543,2200
2006/06/20,2580,2165
2006/06/21,2520,2130
2006/06/22,2520,2175
2006/06/23,2500,2130
2006/06/26,2400,2025
2006/06/27,2400,2073
2006/06/28,2401,2075
