Date,Group5,M&R,PPC,WHBO,AVENGE
2008/07/30,4415,9495,3270,11350,5960
2008/07/31,4460,9600,3400,11600,6200
2008/08/01,4375,9044,3250,11200,5900
2008/08/04,4365,9005,3155,11200,5857
2008/08/05,4400,9188,3140,11250,5850
2008/08/06,4420,9000,3299,11470,5770
2008/08/07,4270,8610,3155,11235,5500
2008/08/08,4310,9500,3150,11200,5700
2008/08/11,4620,9310,3350,11171,5850
2008/08/12,4998,9150,3340,11600,5750
2008/08/13,5060,9200,3325,12800,5900
2008/08/14,5130,9500,3280,12800,6350
2008/08/15,5205,9398,3240,12800,6230
2008/08/18,5240,9200,3210,13000,6100
2008/08/19,5150,9050,3200,12800,5920
2008/08/20,5201,9175,3200,12499,6125
2008/08/21,5200,9020,3200,12799,6695
2008/08/22,5300,9445,3190,13000,6700
2008/08/25,5345,9350,3170,12835,6460
2008/08/26,5300,9660,3120,12800,6495
2008/08/27,5521,10250,3120,13675,6680
2008/08/28,5825,10630,3390,14000,6934
2008/08/29,5600,10400,3398,13700,6620
2008/09/01,5600,10000,3260,14350,6859
2008/09/02,5600,10100,3370,14650,6950
2008/09/03,5805,10151,3370,14400,6930
2008/09/04,5760,10100,3375,14900,6845
2008/09/05,5575,10000,3120,14500,6501
2008/09/08,5640,10200,3191,15000,6900
2008/09/09,5770,10500,3198,14600,6992
2008/09/10,5750,10200,3250,14301,6700
2008/09/11,5650,9903,3250,14500,6300
2008/09/12,5700,9900,3120,14650,6200
2008/09/15,5601,9699,3130,14210,6410
2008/09/16,5690,9580,3200,14100,6613
2008/09/17,5650,9100,3000,14100,6420
2008/09/18,5501,9135,2944,14055,6200
2008/09/19,5650,9900,3010,14375,6600
2008/09/22,5650,10100,3126,14600,6305
2008/09/23,5505,9300,3010,14500,6030
2008/09/25,5550,9301,3050,14400,6115
2008/09/26,5655,9599,3075,14450,6160
2008/09/29,5490,9205,2930,14200,6025
2008/09/30,5650,9590,3125,14500,6250
2008/10/01,5650,9651,3020,14400,6000
2008/10/02,5490,9060,3015,14050,5900
2008/10/03,5335,9140,3010,14249,5990
2008/10/06,5080,8380,2820,13800,5599
2008/10/07,5215,8500,3040,13700,5745
2008/10/08,4900,8010,2890,13261,5200
2008/10/09,4900,8000,2800,13395,5155
2008/10/10,4800,7551,2745,13100,5007
2008/10/13,5050,7550,2717,12970,5299
2008/10/14,4833,7750,2940,13048,5301
2008/10/15,4350,6990,2829,12051,4450
2008/10/16,4335,6320,2452,12050,4240
2008/10/17,3950,6025,2405,12000,4102
2008/10/20,3950,5990,2475,11700,4156
2008/10/21,3970,6465,2670,12000,4530
2008/10/22,4101,6305,2699,12500,4540
2008/10/23,3861,6200,2461,11949,4280
2008/10/24,3800,6000,2500,11450,4140
2008/10/27,3800,6000,2500,10800,3930
2008/10/28,3850,6270,2575,11350,4300
2008/10/29,4000,6299,2758,11917,4400
2008/10/30,4090,6540,2792,12000,4510
2008/10/31,4150,6598,3000,11500,4799
2008/11/03,4325,6490,3025,11550,4421
2008/11/04,4130,6535,3100,11600,4200
2008/11/05,4200,6200,2940,11800,3950
2008/11/06,3980,5750,2710,11500,3655
2008/11/07,3745,5650,2820,10905,3450
2008/11/10,3611,5800,2937,10973,3630
2008/11/11,3474,5541,2810,10990,3585
2008/11/12,3305,5180,2764,10476,3350
2008/11/13,3085,4900,2760,9900,3170
2008/11/14,2820,4800,2887,10000,3066
2008/11/17,2800,4400,2840,9676,2975
2008/11/18,2712,4325,2750,9300,2854
2008/11/19,2720,4390,2850,9260,2801
2008/11/20,2700,4220,2770,8917,2575
2008/11/21,2670,3900,2840,8750,2606
2008/11/24,2805,4350,2870,9336,2840
2008/11/25,2956,4424,3055,9400,3000
2008/11/26,2900,4601,3100,9500,3195
2008/11/27,3090,5000,3100,9718,3170
2008/11/28,3210,4890,3075,9700,2900
2008/12/01,3125,4530,2962,9700,2775
2008/12/02,3065,4050,2990,9460,2499
2008/12/03,3000,3950,2858,9000,2415
2008/12/04,3100,4100,2900,9250,2620
2008/12/05,3125,3895,2990,9075,2750
2008/12/08,3250,4141,3201,9199,2865
2008/12/09,3375,4225,3080,9777,2876
2008/12/10,3346,4400,3098,9800,3133
2008/12/11,3482,4800,3050,10240,3130
2008/12/12,3450,4680,3000,10454,2949
2008/12/15,3375,4450,2981,10600,2800
2008/12/17,3388,4515,3001,10501,2663
2008/12/18,3550,4737,2984,10550,2920
2008/12/19,3617,4510,2900,10650,2805
2008/12/22,3510,4700,3100,10751,2980
2008/12/23,3600,4802,3100,10990,3066
2008/12/24,3550,4880,3000,11000,3100
2008/12/29,3650,4800,3050,11000,3155
2008/12/30,3550,4800,3199,10700,3100
2008/12/31,3550,4800,3135,10751,3072
2009/01/02,3530,4869,3170,10969,3052
2009/01/05,3611,5100,3000,11000,3150
2009/01/06,3781,5300,3050,11500,3320
2009/01/07,3667,4900,3000,11400,3152
2009/01/08,3650,4920,2950,11300,3150
2009/01/09,3650,5010,2950,11505,3211
2009/01/12,3600,5000,2948,11800,3284
2009/01/13,3532,4840,2771,11800,3110
2009/01/14,3474,4700,2845,11440,3035
2009/01/15,3370,4650,2891,10900,3001
2009/01/16,3371,4600,2900,10538,3009
2009/01/19,3395,4400,2865,10750,2850
2009/01/20,3366,4390,2810,10498,2740
2009/01/21,3420,4430,2751,10330,2700
2009/01/22,3230,4350,2795,9900,2635
2009/01/23,3035,4300,2800,9500,2545
2009/01/26,3130,4450,2785,9750,2650
2009/01/27,3197,4325,2840,10150,2650
2009/01/28,3280,4420,2875,10100,2700
2009/01/29,3300,4397,2890,9950,2698
2009/01/30,3230,4320,2960,9718,2640
2009/02/02,3230,4100,2825,9700,2500
2009/02/03,2980,4100,2890,9080,2425
2009/02/04,2905,4170,2875,9208,2490
2009/02/05,2871,4201,2885,9300,2512
2009/02/06,2974,4340,3069,9350,2600
2009/02/09,3090,4330,3100,9445,2757
2009/02/10,3110,4350,3225,9499,2783
2009/02/11,3180,4285,3290,9480,2800
2009/02/12,3070,4250,3200,9390,2800
2009/02/13,2970,4000,3145,9250,2650
2009/02/16,2899,3939,3100,9100,2670
2009/02/17,2750,3650,3061,8801,2550
2009/02/18,2700,3499,3105,9000,2444
2009/02/19,2700,3500,3260,9000,2460
2009/02/20,2675,3498,3100,8600,2365
2009/02/23,2714,3750,3030,8699,2549
2009/02/24,2725,3650,3000,8500,2505
2009/02/25,2850,3739,2970,8620,2600
2009/02/26,2925,3700,3049,8635,2576
2009/02/27,2751,3706,2970,8500,2575
2009/03/02,2875,3759,2975,8700,2580
2009/03/03,2750,3775,2905,8650,2580
2009/03/04,2925,3850,2975,8600,2690
2009/03/05,2902,3850,2817,8658,2625
2009/03/06,2850,3900,2740,8600,2643
2009/03/09,2830,3900,2718,8350,2650
2009/03/10,2820,3800,2609,8200,2700
2009/03/11,2919,3940,2750,8450,2779
2009/03/12,2900,3880,2795,8400,2679
2009/03/13,2970,3945,2835,8449,2689
2009/03/16,2950,3995,2900,8550,2690
2009/03/17,2847,4080,2850,8550,2700
2009/03/18,2960,4175,2801,8798,2765
2009/03/19,2978,4325,2825,8700,2815
2009/03/20,2915,4350,2905,8554,2850
2009/03/23,2950,4380,3000,8545,2861
2009/03/24,2900,4020,3126,8550,2800
2009/03/25,2900,4200,3190,8500,2815
2009/03/26,2870,4162,3148,8500,2790
2009/03/27,2824,4113,3155,8500,2665
2009/03/30,2775,3960,3199,8425,2652
2009/03/31,2825,4050,3139,8509,2605
2009/04/01,2969,4300,3330,8700,2790
2009/04/02,2950,4400,3541,9025,2850
2009/04/03,2859,4360,3450,9250,2850
2009/04/06,2850,4300,3450,9050,2878
2009/04/07,2840,4400,3310,8995,2829
2009/04/08,2800,4300,3190,8799,2830
2009/04/09,2817,4400,3300,9000,2900
2009/04/14,2855,4650,3300,9200,3040
2009/04/15,2850,4500,3300,9199,2900
2009/04/16,2850,4285,3243,9300,2850
2009/04/17,2750,4165,3300,9100,2830
2009/04/20,2703,4005,3150,9082,2817
2009/04/21,2800,4214,3190,9100,2868
2009/04/23,2987,4600,3248,9300,3039
2009/04/24,2864,4700,3150,9450,3140
2009/04/28,2868,4750,3300,9423,3130
2009/04/29,3021,4831,3235,9826,3200
2009/04/30,3183,4775,3275,10001,3270
2009/05/04,3365,5020,3225,10360,3399
2009/05/05,3300,5194,3300,10450,3400
2009/05/06,3200,4811,3280,10350,3250
2009/05/07,3100,4700,3248,10546,3150
2009/05/08,3175,4649,3285,10600,3180
2009/05/11,3165,4600,3174,10550,3180
2009/05/12,3225,4665,3038,10350,3039
2009/05/13,3200,4529,2970,10270,2950
2009/05/14,3200,4440,2985,10020,2897
2009/05/15,3170,4617,3060,10001,2900
2009/05/18,3165,4540,3050,10250,2965
2009/05/19,3350,5000,3090,10400,3140
2009/05/20,3435,5095,3085,10400,3193
2009/05/21,3300,4865,3070,10057,3151
2009/05/22,3300,4800,3100,9815,3210
2009/05/25,3300,4899,3100,10200,3265
2009/05/26,3240,4960,3145,10200,3280
2009/05/27,3261,5145,3100,10330,3425
2009/05/28,3280,5000,3120,10300,3436
2009/05/29,3300,4981,3060,10355,3490
2009/06/01,3394,5130,3035,11045,3700
2009/06/02,3449,4982,3080,11400,3690
2009/06/03,3512,5010,2975,10900,3600
2009/06/04,3445,5101,3050,10950,3575
2009/06/05,3435,5051,3000,10850,3600
2009/06/08,3396,5000,3000,10650,3560
2009/06/09,3400,5080,3000,10551,3599
2009/06/10,3450,5200,2979,10700,3640
2009/06/11,3420,5150,2860,10645,3610
2009/06/12,3396,5200,2900,10620,3605
2009/06/15,3380,5145,2876,10650,3560
2009/06/17,3275,5035,2868,10650,3510
2009/06/18,3350,4984,2950,10661,3530
2009/06/19,3375,5047,2900,10750,3518
2009/06/22,3350,4870,2878,10900,3365
2009/06/23,3250,4740,2816,10600,3300
2009/06/24,3170,4700,2943,10550,3290
2009/06/25,3160,4723,2843,10490,3330
2009/06/26,3175,4905,2885,10470,3400
2009/06/29,3350,4925,2850,10450,3490
2009/06/30,3470,5000,2902,10620,3500
2009/07/01,3450,5043,3051,10650,3479
2009/07/02,3435,4900,3046,10900,3450
2009/07/03,3450,4740,3000,10899,3366
2009/07/06,3400,4683,2925,10826,3280
2009/07/07,3400,4745,2960,10800,3340
2009/07/08,3315,4790,2960,10700,3300
2009/07/09,3400,4870,2987,10900,3402
2009/07/10,3325,4880,2980,10775,3463
2009/07/13,3400,4970,2965,10651,3495
2009/07/14,3385,4959,2914,10880,3536
2009/07/15,3420,5020,2898,11015,3585
2009/07/16,3500,5040,2875,11070,3650
2009/07/17,3550,5000,2890,10951,3560
2009/07/20,3550,5099,2899,11095,3620
2009/07/21,3560,5035,2877,11300,3700
2009/07/22,3480,4970,2850,11300,3685
2009/07/23,3500,4990,2800,11395,3720
2009/07/24,3590,5149,2840,11493,3700
2009/07/27,3600,4925,2874,11499,3664
2009/07/28,3490,4799,2970,11500,3520
2009/07/29,3470,4700,2956,11311,3535
2009/07/30,3485,4798,2857,11355,3600
2009/07/31,3490,4745,2904,11300,3700
2009/08/03,3545,4895,2960,11300,3750
2009/08/04,3550,4915,3000,11300,3850
2009/08/05,3565,5077,2950,11799,3996
2009/08/06,3700,5085,2927,11700,4021
2009/08/07,3715,5080,2970,11700,3960
2009/08/11,3650,4900,2930,11646,3800
2009/08/12,3547,4750,2875,11250,3700
2009/08/13,3690,4900,2840,11200,3790
2009/08/14,3689,4899,2854,11250,3860
2009/08/17,3617,4600,2825,11000,3675
2009/08/18,3600,4771,2810,11200,3770
2009/08/19,3600,4868,2830,11050,3705
2009/08/20,3595,4810,2866,11177,3700
2009/08/21,3745,4802,2905,11210,3781
2009/08/24,3735,4850,3010,11300,3800
2009/08/25,3739,4700,2900,11200,3730
2009/08/26,3760,4775,3000,11105,3700
2009/08/27,3871,4895,3090,11150,3770
2009/08/28,4100,5180,3182,11450,3910
2009/08/31,4170,5500,3213,11500,4120
2009/09/01,4045,5350,3290,11690,3999
2009/09/02,3880,5175,3210,11116,3800
2009/09/03,4030,5313,3319,11400,3804
2009/09/04,4017,5359,3390,11521,3900
2009/09/07,3970,5180,3360,11805,3880
2009/09/08,3930,5225,3310,11699,3825
2009/09/09,4050,5561,3298,11850,4030
2009/09/10,4099,5780,3362,11820,4190
2009/09/11,4200,6270,3480,12250,4420
2009/09/14,4140,6100,3330,12050,4221
2009/09/15,4100,6015,3325,11930,4250
2009/09/16,4306,6301,3335,12450,4450
2009/09/17,4520,6600,3549,12490,4700
2009/09/18,4499,6450,3600,12795,4599
2009/09/21,4290,6280,3500,12550,4370
2009/09/22,4270,6330,3521,12512,4575
2009/09/23,4300,6300,3549,12508,4550
2009/09/25,4260,6275,3489,12840,4611
2009/09/28,4248,6180,3450,12764,4524
2009/09/29,4310,6096,3388,12509,4490
2009/09/30,4395,5935,3390,12619,4325
2009/10/01,4395,5995,3300,12314,4470
2009/10/02,4292,6000,3255,11860,4247
2009/10/05,4295,5761,3329,12000,4250
2009/10/06,4260,5770,3385,12140,4270
2009/10/07,4290,5806,3400,12072,4330
2009/10/08,4250,5900,3300,12100,4420
2009/10/09,4299,5900,3370,12200,4398
2009/10/12,4280,5887,3400,12220,4295
2009/10/13,4165,5813,3380,12099,4187
2009/10/14,4220,5800,3410,11900,4139
2009/10/15,4159,5730,3385,12075,4290
2009/10/16,4124,5730,3254,12230,4190
2009/10/19,4140,5856,3220,12031,4250
2009/10/20,4073,5949,3330,12000,4200
2009/10/21,3950,5680,3290,11651,4105
2009/10/22,4000,5729,3430,11600,4186
2009/10/23,4040,5725,3416,11600,4155
2009/10/26,4020,5725,3319,11650,4200
2009/10/27,3964,5480,3300,11200,4032
2009/10/28,4002,5460,3232,11200,3851
2009/10/29,4030,5549,3350,11250,4024
2009/10/30,4030,5638,3295,11400,4175
2009/11/02,3955,5510,3200,11200,4001
2009/11/03,3890,5465,3170,11160,3960
2009/11/04,3790,5600,3250,11270,3960
2009/11/05,3720,5465,3200,11259,3960
2009/11/06,3800,5450,3134,11350,3980
2009/11/09,3850,5410,3220,11406,3955
2009/11/10,3910,5395,3250,11410,4148
2009/11/11,4029,5600,3360,11704,4134
2009/11/12,4000,5625,3300,11761,4155
2009/11/13,3955,5520,3290,11623,4111
2009/11/16,3900,5525,3300,11550,4126
2009/11/17,4035,5580,3338,11800,4090
2009/11/18,3875,5480,3243,11799,4098
2009/11/19,3890,5425,3225,11500,4010
2009/11/20,3900,5470,3199,11350,3955
2009/11/23,3936,5448,3200,11399,3990
2009/11/24,3900,5285,3199,11300,3940
2009/11/25,3835,5100,3170,11005,3870
2009/11/26,3674,4860,3135,10500,3705
2009/11/27,3690,4840,3105,10600,3711
2009/11/30,3700,4784,3102,10455,3700
2009/12/01,3700,4850,3170,10400,3779
2009/12/02,3715,4780,3145,10390,3750
2009/12/03,3685,4700,3140,10407,3715
2009/12/04,3600,4725,3180,10130,3710
2009/12/07,3500,4599,3148,9945,3700
2009/12/08,3360,4500,3210,10000,3670
2009/12/09,3450,4400,3240,10099,3760
2009/12/10,3440,4500,3340,10250,3900
2009/12/11,3450,4500,3418,10400,3944
2009/12/14,3450,4719,3424,10448,3914
2009/12/15,3450,4599,3443,10376,3940
2009/12/17,3470,4460,3500,10900,3940
2009/12/18,3689,4510,3416,11000,3978
2009/12/21,3560,4460,3475,11193,3923
2009/12/22,3590,4500,3428,10870,3901
2009/12/23,3700,4485,3485,10800,3900
2009/12/24,3760,4538,3499,10950,3900
2009/12/28,3763,4574,3482,10950,3982
2009/12/29,3759,4475,3493,10900,3900
2009/12/30,3819,4520,3439,10655,3990
2009/12/31,3850,4648,3473,10749,3990
2010/01/04,3792,4680,3480,10632,3970
2010/01/05,3768,4575,3501,10850,4020
2010/01/06,3757,4569,3540,10865,3954
2010/01/07,3745,4549,3490,10668,3960
2010/01/08,3771,4525,3542,10679,3960
2010/01/11,3749,4530,3330,10700,3970
2010/01/12,3650,4470,3305,10767,3905
2010/01/13,3575,4330,3250,10600,3840
2010/01/14,3525,4425,3375,10500,3870
2010/01/15,3500,4400,3316,10340,3849
2010/01/18,3550,4396,3338,10299,3850
2010/01/19,3523,4399,3301,10248,3855
2010/01/20,3500,4340,3400,10200,3900
2010/01/21,3395,4299,3359,10016,3800
2010/01/22,3325,4190,3425,9800,3680
2010/01/25,3349,4200,3370,9750,3747
2010/01/26,3320,4040,3360,9600,3615
2010/01/27,3260,4000,3400,9758,3550
2010/01/28,3315,3950,3405,9800,3561
2010/01/29,3200,3952,3355,9798,3550
2010/02/01,3150,4020,3327,9800,3530
2010/02/02,3160,4120,3280,9860,3600
2010/02/03,3260,4332,3310,10150,3700
2010/02/04,3300,4300,3372,9999,3655
2010/02/05,3200,4173,3289,9800,3576
2010/02/08,3205,4200,3345,9760,3598
2010/02/09,3300,4220,3328,10059,3702
2010/02/10,3365,4280,3317,10200,3865
2010/02/11,3399,4241,3285,10200,3790
2010/02/12,3320,4131,3246,10195,3660
2010/02/15,3290,4218,3296,10000,3690
2010/02/16,3279,4175,3290,10050,3680
2010/02/17,3382,4469,3400,10400,3860
2010/02/18,3325,4170,3390,10280,3835
2010/02/19,3203,3953,3230,10100,3742
2010/02/22,3200,4020,3231,10140,3817
2010/02/23,3202,3989,3287,10340,3775
2010/02/24,3220,3905,3220,10500,3750
2010/02/25,3235,3835,3235,10700,3743
2010/02/26,3234,3860,3250,10846,3740
2010/03/01,3255,3750,3239,10841,3765
2010/03/02,3260,3830,3219,10823,3840
2010/03/03,3345,3920,3220,10820,3850
2010/03/04,3504,3890,3235,10800,3860
2010/03/05,3500,3850,3236,10900,3835
2010/03/08,3460,3980,3290,11000,3960
2010/03/09,3370,3835,3300,10950,3911
2010/03/10,3299,3850,3321,11090,3998
2010/03/11,3375,3830,3250,11500,3960
2010/03/12,3525,3800,3275,11799,3978
2010/03/15,3465,3790,3225,11450,4015
2010/03/16,3500,3850,3265,11445,4000
2010/03/17,3500,3900,3300,11451,3950
2010/03/18,3450,3915,3315,11512,3750
2010/03/19,3440,3830,3275,11403,3549
2010/03/23,3438,3860,3270,11360,3571
2010/03/24,3437,3941,3275,11700,3555
2010/03/25,3600,4100,3400,12009,3600
2010/03/26,3549,4230,3352,12000,3640
2010/03/29,3680,4390,3340,12300,3736
2010/03/30,3725,4362,3350,12100,3780
2010/03/31,3710,4329,3420,11855,3760
2010/04/01,3707,4292,3370,11456,3740
2010/04/06,3800,4550,3400,11763,3860
2010/04/07,3848,4661,3400,11865,3900
2010/04/08,3843,4675,3320,11799,3880
2010/04/09,3879,4699,3335,11840,3940
2010/04/12,3820,4600,3322,11588,3832
2010/04/13,3803,4580,3297,11590,3860
2010/04/14,3834,4645,3282,11680,3802
2010/04/15,3792,4620,3294,11760,3777
2010/04/16,3800,4602,3250,11780,3770
2010/04/19,3662,4499,3247,11700,3750
2010/04/20,3639,4490,3259,11669,3795
2010/04/21,3760,4400,3269,11745,3790
2010/04/22,3700,4300,3219,11835,3750
2010/04/23,3731,4297,3320,11750,3800
2010/04/26,3780,4300,3315,12000,3830
2010/04/28,3701,4220,3315,12000,3750
2010/04/29,3761,4220,3330,12000,3746
2010/04/30,3722,4140,3315,12000,3720
2010/05/03,3780,4100,3350,12100,3750
2010/05/04,3760,4089,3300,12000,3762
2010/05/05,3700,4102,3280,11700,3720
2010/05/06,3700,4000,3330,11600,3813
2010/05/07,3700,3804,3250,11450,3657
2010/05/10,3663,4020,3317,11984,3729
2010/05/11,3637,4030,3349,11700,3800
2010/05/12,3715,4165,3430,12234,3947
2010/05/13,3718,4100,3300,11750,3917
2010/05/14,3590,4020,3240,11750,3800
2010/05/17,3600,4000,3225,11717,3795
2010/05/18,3550,4000,3244,11600,3732
2010/05/19,3540,3950,3214,11451,3706
2010/05/20,3477,3840,3160,11250,3650
2010/05/21,3500,3882,3092,11344,3527
2010/05/24,3500,3931,3122,11360,3600
2010/05/25,3461,3830,3061,11200,3521
2010/05/26,3486,3975,3200,11302,3500
2010/05/27,3485,4103,3189,11550,3660
2010/05/28,3515,4130,3230,11620,3626
2010/05/31,3480,4158,3200,11600,3650
2010/06/01,3575,4060,3206,11500,3623
2010/06/02,3554,4099,3194,11400,3627
2010/06/03,3599,4040,3187,11250,3631
2010/06/04,3530,3880,3124,10999,3545
2010/06/07,3475,3850,3065,10651,3450
2010/06/08,3475,3870,3105,10684,3421
2010/06/09,3475,3890,3137,10726,3499
2010/06/10,3500,3900,3179,10850,3560
2010/06/11,3450,3930,3134,10860,3500
2010/06/14,3440,3950,3175,10897,3530
2010/06/15,3441,3957,3250,11200,3520
2010/06/17,3500,4070,3323,11500,3570
2010/06/18,3445,4179,3335,11490,3516
2010/06/21,3433,4089,3337,11450,3485
2010/06/22,3450,4140,3295,11100,3450
2010/06/23,3450,3970,3300,10951,3430
2010/06/24,3475,4010,3287,11200,3530
2010/06/25,3475,3980,3258,10899,3510
2010/06/28,3400,4001,3235,10900,3450
2010/06/29,3405,3939,3229,11200,3400
2010/06/30,3450,3880,3180,10930,3445
2010/07/01,3400,3811,3091,10600,3343
2010/07/02,3444,3889,3116,10800,3372
2010/07/05,3501,3765,3127,10701,3377
2010/07/06,3448,3825,3120,10850,3340
2010/07/07,3389,3755,3100,10777,3265
2010/07/08,3340,3735,3094,10883,3289
2010/07/09,3305,3780,3091,10997,3325
2010/07/12,3348,3840,3080,11092,3360
2010/07/13,3354,3850,3100,11001,3345
2010/07/14,3350,3901,3148,10760,3370
2010/07/15,3350,3905,3185,11000,3351
2010/07/16,3300,3910,3117,10900,3330
2010/07/19,3321,3904,3055,10741,3305
2010/07/20,3300,3930,3062,10650,3353
2010/07/21,3305,4003,3080,10550,3394
2010/07/22,3360,3970,3144,10900,3495
2010/07/23,3422,3930,3127,10662,3535
2010/07/26,3520,4010,3150,11000,3620
2010/07/27,3530,4040,3185,11269,3680
2010/07/28,3598,4165,3208,11199,3700
2010/07/29,3620,4279,3180,11250,3630
2010/07/30,3502,4202,3225,11295,3602
2010/08/02,3560,4243,3165,11076,3660
2010/08/03,3545,4221,3150,10994,3677
2010/08/04,3548,4219,3125,11000,3670
2010/08/05,3598,4215,3125,11051,3687
2010/08/06,3555,4275,3150,11200,3775
2010/08/10,3464,4189,3085,11100,3719
2010/08/11,3420,4109,3076,10850,3731
2010/08/12,3425,4129,3080,11394,3730
2010/08/13,3475,4150,3080,11670,3756
2010/08/16,3486,4201,3068,11470,3737
2010/08/17,3490,4250,3065,11399,3799
2010/08/18,3429,4080,3032,11257,3728
2010/08/19,3467,4130,3019,11287,3714
2010/08/20,3375,4100,2970,11210,3679
2010/08/23,3402,4130,2973,10820,3656
2010/08/24,3321,4097,2967,10923,3620
2010/08/25,3290,4038,2954,10500,3550
2010/08/26,3460,4200,2945,11260,3610
2010/08/27,3392,4100,2939,11250,3671
2010/08/30,3358,4150,2934,11260,3725
2010/08/31,3339,4150,3003,11300,3800
2010/09/01,3348,4085,3001,11150,3800
2010/09/02,3350,4070,2910,11047,3760
2010/09/03,3429,4065,2940,11249,3790
2010/09/06,3463,4065,2958,11197,3799
2010/09/07,3411,4047,2943,11051,3750
2010/09/08,3301,3995,2900,10700,3759
2010/09/09,3353,3999,2886,11075,3790
2010/09/10,3310,4050,2920,11290,3836
2010/09/13,3358,4059,2969,11450,3940
2010/09/14,3381,4080,2969,11449,3930
2010/09/15,3380,4048,2992,11550,3900
2010/09/16,3402,4056,2994,11665,3917
2010/09/17,3440,4075,3000,11875,3900
2010/09/20,3490,4070,2978,11872,3931
2010/09/21,3551,4174,3020,11885,4035
2010/09/22,3512,4106,3004,11900,4006
2010/09/23,3526,4171,3000,11900,4057
2010/09/27,3515,4198,3045,12090,4189
2010/09/28,3565,4290,3058,12180,4186
2010/09/29,3600,4351,3130,12225,4300
2010/09/30,3650,4490,3196,12500,4350
2010/10/01,3690,4470,3161,12400,4230
2010/10/04,3690,4500,3174,12680,4250
2010/10/05,3682,4440,3172,12550,4274
2010/10/06,3682,4439,3190,12590,4300
2010/10/07,3645,4440,3180,12553,4187
2010/10/08,3642,4400,3200,12560,4202
2010/10/11,3643,4360,3200,12700,4075
2010/10/12,3669,4293,3200,12700,4120
2010/10/13,3670,4438,3250,12885,4125
2010/10/14,3637,4456,3228,12900,4170
2010/10/15,3700,4501,3209,12900,4140
2010/10/18,3700,4565,3250,12700,4219
2010/10/19,3663,4500,3218,12700,4203
2010/10/20,3642,4535,3290,12746,4209
2010/10/21,3708,4510,3325,12999,4217
2010/10/22,3724,4447,3312,12900,4275
2010/10/25,3771,4430,3300,13300,4355
2010/10/26,3825,4418,3319,13247,4406
2010/10/27,3900,4400,3327,13500,4400
2010/10/28,3924,4275,3311,13480,4370
2010/10/29,3920,4340,3340,13538,4400
2010/11/01,3983,4369,3370,13400,4403
2010/11/02,4008,4440,3370,13503,4450
2010/11/03,4070,4380,3444,13490,4500
2010/11/04,4065,4340,3470,13384,4470
2010/11/05,4030,4283,3430,13300,4403
2010/11/08,3999,4290,3430,13150,4420
2010/11/09,3984,4290,3386,13200,4390
2010/11/10,3991,4299,3425,13500,4403
2010/11/11,3877,4249,3394,13205,4326
2010/11/12,3900,4200,3330,13400,4400
2010/11/15,3957,4189,3350,13261,4365
2010/11/16,3816,4095,3399,13375,4331
2010/11/17,3860,4077,3387,13250,4300
2010/11/18,3929,4094,3400,13745,4355
2010/11/19,3860,4087,3394,13651,4328
2010/11/22,3840,4060,3369,13351,4320
2010/11/23,3825,4012,3325,13539,4325
2010/11/24,3790,4000,3318,13500,4255
2010/11/25,3800,3970,3327,13355,4263
2010/11/26,3775,3925,3321,13251,4178
2010/11/29,3670,3900,3335,13250,4051
2010/11/30,3611,3849,3251,13226,4080
2010/12/01,3642,3900,3293,13282,4130
2010/12/02,3655,3890,3338,13313,4085
2010/12/03,3700,3875,3283,13440,4065
2010/12/06,3681,3890,3335,13505,4060
2010/12/07,3660,3875,3332,13400,4060
2010/12/08,3690,3885,3275,13446,4100
2010/12/09,3680,3887,3297,13420,4100
2010/12/10,3626,3900,3260,13550,4089
2010/12/13,3650,3876,3280,13560,4050
2010/12/14,3660,3859,3300,13550,4100
2010/12/15,3675,3870,3325,13460,4147
2010/12/17,3811,3920,3405,13675,4249
2010/12/20,3750,3950,3333,13664,4239
2010/12/21,3711,3845,3370,13740,4260
2010/12/22,3727,3900,3375,13800,4269
2010/12/23,3735,3921,3365,13885,4295
2010/12/24,3700,3975,3353,13749,4288
2010/12/28,3746,3974,3378,13898,4300
2010/12/29,3720,3976,3425,13989,4300
2010/12/30,3715,4010,3450,13950,4330
2010/12/31,3650,4017,3495,13900,4325
2011/01/03,3660,4000,3490,13900,4325
2011/01/04,3695,3980,3510,13950,4362
2011/01/05,3690,4000,3488,13949,4404
2011/01/06,3701,4000,3490,13925,4400
2011/01/07,3700,4059,3500,14086,4450
2011/01/10,3690,3933,3313,13911,4379
2011/01/11,3835,4001,3305,14000,4404
2011/01/12,3732,4014,3280,13805,4390
2011/01/13,3660,4031,3270,13800,4230
2011/01/14,3695,4020,3279,13880,4290
2011/01/17,3657,4025,3259,13800,4290
2011/01/18,3515,3994,3200,13650,4197
2011/01/19,3600,4006,3185,13500,4238
2011/01/20,3597,4022,3200,13400,4200
2011/01/21,3539,3990,3252,13300,4199
2011/01/24,3481,3930,3260,13170,4100
2011/01/25,3439,3960,3314,12980,4055
2011/01/26,3447,3945,3350,12900,4050
2011/01/27,3472,3965,3375,12990,4050
2011/01/28,3355,3460,3265,12649,3950
2011/01/31,3211,3110,3120,12300,3802
2011/02/01,3035,2965,3013,11993,3625
2011/02/02,3010,2956,3075,11829,3707
2011/02/03,3000,3000,3040,12000,3722
2011/02/04,3022,3061,3030,12000,3750
2011/02/07,3070,3045,3010,12075,3793
2011/02/08,3100,2995,2987,12090,3775
