Date,Group5,AVENGE
2005/05/19,1400,1190
2005/05/20,1400,1180
2005/05/23,1379,1150
2005/05/24,1375,1125
2005/05/25,1360,1125
2005/05/26,1370,1145
2005/05/27,1370,1160
2005/05/30,1370,1156
2005/05/31,1360,1152
2005/06/01,1359,1151
2005/06/02,1370,1150
2005/06/03,1370,1150
2005/06/06,1440,1175
2005/06/07,1427,1195
2005/06/08,1425,1216
2005/06/09,1450,1200
2005/06/10,1465,1205
2005/06/13,1455,1220
2005/06/14,1475,1225
2005/06/15,1490,1235
2005/06/17,1520,1235
2005/06/20,1535,1254
2005/06/21,1535,1250
2005/06/22,1610,1242
2005/06/23,1550,1229
2005/06/24,1535,1220
2005/06/27,1530,1225
2005/06/28,1520,1240
2005/06/29,1520,1245
2005/06/30,1539,1235
2005/07/01,1525,1245
2005/07/04,1540,1230
2005/07/05,1570,1225
2005/07/06,1610,1245
2005/07/07,1620,1240
2005/07/08,1613,1243
2005/07/11,1625,1264
2005/07/12,1630,1280
2005/07/13,1645,1280
2005/07/14,1675,1290
2005/07/15,1670,1310
2005/07/18,1665,1310
2005/07/19,1660,1330
2005/07/20,1635,1335
2005/07/21,1694,1360
2005/07/22,1697,1365
2005/07/25,1705,1350
2005/07/26,1705,1345
2005/07/27,1705,1335
2005/07/28,1710,1345
2005/07/29,1720,1330
2005/08/01,1740,1335
2005/08/02,1765,1320
2005/08/03,1765,1320
2005/08/04,1775,1280
2005/08/05,1774,1300
2005/08/08,1775,1325
2005/08/10,1735,1336
2005/08/11,1660,1315
2005/08/12,1655,1292
2005/08/15,1661,1291
2005/08/16,1680,1290
2005/08/17,1710,1290
2005/08/18,1700,1280
2005/08/19,1710,1294
2005/08/22,1745,1315
2005/08/23,1780,1320
2005/08/24,1780,1312
2005/08/25,1780,1310
2005/08/26,1770,1320
2005/08/29,1720,1310
2005/08/30,1721,1316
2005/08/31,1780,1295
2005/09/01,1800,1328
2005/09/02,1830,1330
2005/09/05,1875,1340
2005/09/06,1880,1397
2005/09/07,1875,1390
2005/09/08,1870,1365
2005/09/09,1820,1365
2005/09/12,1845,1444
2005/09/13,1850,1450
2005/09/14,1850,1490
2005/09/15,1865,1519
2005/09/16,1890,1565
2005/09/19,1890,1610
2005/09/20,1880,1580
2005/09/21,1870,1590
2005/09/22,1875,1600
2005/09/23,1800,1601
2005/09/26,1850,1615
2005/09/27,1889,1625
2005/09/28,1975,1630
2005/09/29,1985,1640
2005/09/30,2000,1675
2005/10/03,2040,1655
2005/10/04,2010,1695
2005/10/05,1955,1695
2005/10/06,1919,1660
2005/10/07,1900,1640
2005/10/10,1921,1649
2005/10/11,1961,1660
2005/10/12,1990,1700
2005/10/13,1940,1660
2005/10/14,1920,1655
2005/10/17,1950,1658
2005/10/18,1940,1660
2005/10/19,1935,1638
2005/10/20,1940,1640
2005/10/21,1950,1645
2005/10/24,1950,1660
2005/10/25,1960,1702
2005/10/26,2000,1720
2005/10/27,2050,1705
2005/10/28,2100,1695
2005/10/31,2100,1685
2005/11/01,2110,1700
2005/11/02,2094,1720
2005/11/03,2090,1795
2005/11/04,2050,1770
2005/11/07,2056,1800
2005/11/08,2085,1840
2005/11/09,2085,1880
2005/11/10,2070,1910
2005/11/11,2075,1929
2005/11/14,1999,1905
2005/11/15,2005,1915
2005/11/16,2020,1915
2005/11/17,2019,1915
2005/11/18,1990,1920
2005/11/21,1990,1951
2005/11/22,2011,1900
2005/11/23,2000,1900
2005/11/24,1975,1915
2005/11/25,1969,1905
2005/11/28,1939,1865
2005/11/29,1905,1870
2005/11/30,1868,1841
2005/12/01,1875,1830
2005/12/02,1900,1825
2005/12/05,1940,1820
2005/12/06,1980,1825
2005/12/07,2025,1840
2005/12/08,2050,1840
2005/12/09,2035,1840
2005/12/12,2010,1880
2005/12/13,1980,1900
2005/12/14,2005,1885
2005/12/15,2085,1880
2005/12/19,2120,1860
2005/12/20,2130,1820
2005/12/21,2150,1834
2005/12/22,2150,1770
2005/12/23,2150,1780
2005/12/27,2149,1805
2005/12/28,2130,1805
2005/12/29,2150,1780
2005/12/30,2105,1799
2006/01/03,2150,1830
2006/01/04,2250,1835
2006/01/05,2300,1845
2006/01/06,2355,1870
2006/01/09,2371,1945
2006/01/10,2400,1980
2006/01/11,2427,1985
2006/01/12,2410,2075
2006/01/13,2420,2100
2006/01/16,2410,2030
2006/01/17,2410,1990
2006/01/18,2411,1950
2006/01/19,2500,1965
2006/01/20,2500,1970
2006/01/23,2520,1955
2006/01/24,2500,1975
2006/01/25,2470,2050
2006/01/26,2470,2040
2006/01/27,2475,2025
2006/01/30,2425,2035
2006/01/31,2475,2055
2006/02/01,2475,2101
2006/02/02,2485,2110
2006/02/03,2460,2100
2006/02/06,2475,2075
2006/02/07,2470,2110
2006/02/08,2440,2100
2006/02/09,2457,2130
2006/02/10,2500,2202
2006/02/13,2484,2200
2006/02/14,2449,2200
2006/02/15,2430,2200
2006/02/16,2300,2190
2006/02/17,2450,2250
2006/02/20,2440,2250
2006/02/21,2450,2270
2006/02/22,2580,2323
2006/02/23,2656,2305
2006/02/24,2650,2335
2006/02/27,2690,2405
2006/02/28,2700,2385
2006/03/02,2705,2480
2006/03/03,2701,2451
2006/03/06,2775,2455
2006/03/07,2800,2326
2006/03/08,2750,2321
2006/03/09,2800,2351
2006/03/10,2800,2340
2006/03/13,2800,2400
2006/03/14,2860,2420
2006/03/15,2850,2430
2006/03/16,2850,2391
2006/03/17,2900,2361
2006/03/20,2950,2430
2006/03/22,3040,2516
2006/03/23,3115,2517
2006/03/24,3160,2470
2006/03/27,3180,2460
2006/03/28,3200,2400
2006/03/29,3180,2375
2006/03/30,3145,2340
2006/03/31,3040,2350
2006/04/03,3030,2365
2006/04/04,3025,2375
2006/04/05,2930,2400
2006/04/06,3000,2372
2006/04/07,3000,2385
2006/04/10,2998,2411
2006/04/11,2942,2375
2006/04/12,2900,2340
2006/04/13,2870,2305
2006/04/18,2900,2331
2006/04/19,2999,2310
2006/04/20,3000,2309
2006/04/21,3002,2300
2006/04/24,3016,2272
2006/04/25,3030,2310
2006/04/26,3050,2375
2006/04/28,3050,2376
2006/05/02,3015,2310
2006/05/03,3050,2410
2006/05/04,3060,2430
2006/05/05,3065,2430
2006/05/08,3110,2360
2006/05/09,3130,2400
2006/05/10,3130,2430
2006/05/11,3140,2465
2006/05/12,3200,2480
2006/05/15,3066,2425
2006/05/16,3065,2400
2006/05/17,3050,2350
2006/05/18,3040,2305
2006/05/19,3010,2307
2006/05/22,2950,2210
2006/05/23,2940,2200
2006/05/24,2850,2142
2006/05/25,2845,2160
2006/05/26,2830,2200
2006/05/29,2825,2217
2006/05/30,2850,2238
2006/05/31,2850,2205
2006/06/01,2851,2200
2006/06/02,2865,2240
2006/06/05,3000,2250
2006/06/06,2890,2129
2006/06/07,2805,2100
2006/06/08,2590,2041
2006/06/09,2589,2079
2006/06/12,2700,2169
2006/06/13,2649,2149
2006/06/14,2600,2130
2006/06/15,2677,2185
2006/06/19,2753,2200
2006/06/20,2730,2165
2006/06/21,2730,2130
2006/06/22,2751,2175
2006/06/23,2625,2130
2006/06/26,2651,2025
2006/06/27,2651,2073
2006/06/28,2750,2075
2006/06/29,2750,2100
